cluster_id,cluster_total_frequency,member_count,property,count
92,2733,53,Thermal and Electrical Conductivity,2
93,2733,44,Particle size,166
94,2716,12,System Characterization,2643
95,2709,49,Electron concentration,517
96,2705,45,Absorption,2532
97,2694,57,Conversion Efficiency Improvement,1
98,2673,2,Phase,2660
99,2668,143,PL peak energy,270
100,2647,6,Quantum Efficiency,2459
101,2527,43,Etch-rate,13
102,2516,23,Average Diameter (approx.),1
103,2510,58,Crystal Phase,909
104,2423,76,Carrier density,393
105,2412,32,Thermal stability,264
106,2399,73,Optical Absorption,1225
107,2393,99,Defect density,372
108,2391,5,Electrical Conductivity,1960
109,2363,172,PL Emission Peak (Other),1
110,2321,34,Extinction Coefficient,1364
111,2261,80,Dark current density,194
112,2261,6,VOC,837
113,2237,47,Energy gap,501
114,2208,78,Dark electrical conductivity,7
115,2208,9,Jsc,1402
116,2201,17,Output power,137
117,2184,37,RMS roughness,419
118,2176,34,Threshold Current,1882
119,2156,50,Doping level,402
120,2131,22,Shunt resistance,236
121,2124,7,Tensile Strength,1899
122,2114,35,Carrier Mobility,1646
123,2104,41,Elemental Composition,1749
124,2102,117,Cut-off Wavelength,600
125,2102,68,Contact Resistance (Specific),1
126,2084,6,Preferred orientation,347
127,2081,59,Hole concentration,411
128,2062,4,Photoluminescence spectrum intensity,6
129,2057,57,Doping (Type),1
130,2048,145,IS Raman peak,2
131,2034,32,Bond length,209
132,2032,18,Optical Properties (General),1
133,2031,21,Response Time,1729
134,2022,44,Open-circuit Voltage (VOC),31
135,2013,25,Chemical Composition,1685
136,1997,119,Schottky-Barrier Height,12
137,1964,72,Threshold Current Density,1629
138,1944,56,PL peak position,172
139,1937,29,Surface Area (Specific),2
140,1933,2,FF,1926
141,1889,52,Deposition rate,191
142,1867,19,Photoluminescence Peak Energy,1546
143,1859,12,Average Size,1022
144,1837,77,Carrier Lifetimes,13
145,1834,5,Crystalline Structure,1328
146,1830,40,Threshold voltage,213
147,1789,3,Detectivity,1786
148,1765,33,Short-circuit Current,412
149,1757,65,Lattice Spacings,6
150,1745,36,Interplanar Spacing,1116
151,1744,179,UV–vis absorption,10
152,1729,10,In-plane Thermal Conductivity,1456
153,1723,9,HOMO level,391
154,1686,75,Barrier Height,1024
155,1683,7,Effective Internal Quantum Efficiency,2
156,1664,211,X-Ray Rocking Curve FWHM,9
157,1663,156,Luminescence,399
158,1647,44,Growth Direction (Overall),1
159,1642,10,"Fill factor, FF",1
160,1616,23,Capacitance,1240
161,1610,25,Conductivity Type,1029
162,1609,8,Polydispersity index,67
163,1601,24,Sensitivity,1508
164,1592,28,Growth mode,165
165,1591,56,Lattice mismatch,281
166,1575,7,LUMO Level,1194
167,1572,50,I–V-characteristics,1
168,1561,3,PCE,1558
169,1557,76,Barrier thickness,252
170,1527,16,Absorption Maximums,1
171,1518,17,Effective Mass,1074
172,1513,23,Electron Affinity,961
173,1507,69,Incident-Photon-to-Current Conversion Efficiency,30
174,1506,67,Density of states,121
175,1498,9,Number of Periods,1039
176,1492,71,Donor Concentration,595
177,1485,33,Charge transfer resistance,218
178,1482,33,Al Composition,839
179,1479,45,Leakage current,96
180,1479,22,Phase composition,179
181,1478,22,Short-circuit Current Density (jsc),3
182,1472,32,Breakdown Voltage,1273
183,1449,44,Device Structure,966
184,1440,14,Crystallographic orientation,272
185,1435,150,Exciton binding energy,187
186,1430,90,Absorption wavelength,34
187,1430,12,Overall Structure,1097
188,1424,23,Emission peak wavelength,53
189,1419,44,Band structure,209
190,1366,36,Surface Reconstruction,989
191,1366,23,Reflectivity,1287
192,1363,81,Lasing wavelength,87
193,1355,41,Epitaxial Relationship,837
194,1354,4,Grain Size (Average),23
195,1349,80,Minority-carrier lifetime,56
196,1347,11,Average size of crystallites,3
197,1346,74,Conduction-Band Offset,67
198,1322,42,PL Spectrum,551
199,1307,108,PL peak wavelength,75
200,1307,26,Turn-ON Voltage,4
201,1302,40,Operating temperature,72
202,1296,3,Absorbance,1277
203,1285,24,Stoichiometry,1206
204,1283,26,Microstructure,1197
205,1283,2,FWHM,1282
206,1272,28,Schematic structure,135
207,1266,22,Energy Levels,547
208,1237,31,Urbach's energy,3
209,1226,27,Aluminum (Al) composition,3
210,1211,51,Photoresponsivity,944
211,1201,37,Gate Length,636
212,1198,34,Interface Morphology,939
213,1194,6,Resistance,1187
214,1176,16,Performance metrics,5
215,1172,64,Valence-Band Offset,65
216,1165,78,Rocking curve FWHM,138
217,1154,6,Raman spectrum,96
218,1148,14,Well Width,909
219,1138,3,Temperature,1136
220,1131,36,Photosensitivity (S),25
221,1130,34,Spectral Response 1,1
222,1130,14,Absorption Onset,761
223,1128,4,EQE,1123
224,1120,50,Electron lifetime,270
225,1114,5,Optical band gap energy,160
226,1110,6,Stress,1098
227,1106,54,PL Peak,651
228,1100,25,Well Thickness,756
229,1100,6,Polarity,1060
230,1100,5,Roughness,1089
231,1099,21,Interface Quality,932
232,1099,3,PL Emission,936
233,1094,10,Rise time,127
234,1088,74,Dopant concentration,136
235,1087,14,Strain State,806
236,1084,36,Short-circuit Photocurrent Density,133
237,1080,41,Aspect Ratio Achieved,3
238,1079,23,Reflectance,1018
239,1078,9,Transparency,1059
240,1070,17,Emission peak,49
241,1064,60,Impurity concentration,97
242,1054,118,Raman Peaks,493
243,1041,48,Decay Time (s),1
244,1040,10,Dimensions,986
245,1036,7,Flat-band Potential,224
246,1029,37,Residual stress,103
247,1028,15,Formation energy,190
248,1014,39,Quantum yield,43
249,1014,3,Dopant,1012
250,1012,27,Wavelength,711
251,1011,65,Current–voltage characteristics,25
252,1011,31,Presence of secondary phases,55
253,1011,19,Young's modulus,127
254,1004,42,HOMO–LUMO gap,47
255,995,49,Atomic ratio,52
256,992,64,Etching rate,65
257,991,2,Optical gap,338
258,991,7,Material type,206
259,989,18,Photoluminescence emission,106
260,987,16,Optical Band Gap (Eg),784
261,987,14,Al content,211
262,978,59,Fluorescence Intensity,290
263,971,52,Effective Mass for Electron,1
264,971,32,Indium Composition,655
265,959,43,Saturation Current Density,275
266,959,2,Absorption maxima,456
267,953,20,Photoluminescence Wavelength Peak,1
268,952,2,Optical Absorption Coefficient,813
269,950,51,Al mole fraction,194
270,944,45,Photoluminescence (PL),449
271,941,76,PL decay time,85
272,940,29,Structural quality,98
273,939,27,Light Output Power,720
274,936,65,Solar cell efficiency,65
275,932,43,Cavity Length,679
276,930,51,Film morphology,106
277,924,23,Optical quality,80
278,917,77,Surface-recombination velocity,3
279,916,2,Emission Energy,769
280,912,42,Photocatalytic Activity,699
281,906,6,Purity,895
282,897,47,Emission intensity,61
283,895,25,Quality Factor,613
284,891,6,Photoluminescence spectrum,181
285,885,8,Hardness,855
286,884,9,Hydrogen content,211
287,874,16,Growth Conditions,521
288,868,39,Leakage current density,107
289,862,3,Absorption Spectra,691
290,858,72,Energy Band Diagram,517
291,856,16,Optical transmission,157
292,855,22,Porosity,751
293,853,30,Pore Size,412
294,853,27,Overall Power Conversion Efficiency (PCE),1
295,848,13,Solubility,794
296,839,2,Doping Density,677
297,837,53,Position of Fermi level,2
298,837,29,Structure (Cross-sectional),2
299,836,4,Gain,831
300,834,37,Photoresponse,702
301,831,30,Composition ratio,59
302,830,52,Band alignment structure,1
303,827,4,Transmission,819
304,826,16,Forward Voltage,715
305,825,27,On-Off Ratio,54
306,824,5,Average Particle Size,700
307,823,34,Slope Efficiency,643
308,822,2,IPCE,821
309,815,38,Oxidation State,507
310,807,14,Raman Peak Position,611
311,802,8,Surface Composition,684
312,801,71,XRD Peak,306
313,797,51,Electroluminescence peak wavelength,18
314,797,3,Not Explicitly Detailed,105
315,786,24,Transconductance,679
316,782,30,Electron density,138
317,772,2,Color,746
318,771,87,Minority carrier diffusion length,96
319,771,2,Material Composition,664
320,770,11,Indium Content,648
321,770,2,Shape,768
322,769,2,Phase Purity,654
323,762,32,Current density,91
324,758,21,Chemical State,470
325,756,13,Radius,725
326,753,10,Recovery Time,614
327,752,2,Emission Spectrum,623
328,750,22,Adsorption energy,114
329,747,84,Photoluminescence Full-Width at Half-Maximum,18
330,747,17,XRD Pattern,508
331,746,25,Substrate,668
332,741,43,Interface States Density,13
333,738,10,Photovoltaic Device Performance,1
334,730,28,Oscillator strength,160
335,730,25,Conduction type,146
336,728,13,Average Transmittance,567
337,723,49,Sheet-carrier density,2
338,721,36,Mg Concentration,420
339,719,10,Atomic Composition,590
340,715,40,Photocurrent Response,522
341,713,58,Stacking Faults Presence,1
342,710,31,Spectral responsivity,72
343,706,15,Detection limit,42
344,704,42,Transition energy,52
345,699,46,Atomic percentage,84
346,699,8,Specific detectivity,72
347,694,46,Acceptors concentration,2
348,693,67,Quantum efficiency (QE),8
349,693,38,Raman spectroscopy,19
350,688,26,Layer structure,89
351,688,9,Characteristic Temperature,625
352,688,5,Selectivity,681
353,680,8,Electrical Properties,493
354,677,12,Raman Shift,520
355,672,16,Nitrogen content,91
356,670,10,Uniformity,628
357,668,100,Photo-to-dark current ratio,35
358,666,131,Near-band edge emission,4
359,663,33,Valence Band Maximum,560
360,662,32,Adhesion,479
361,660,16,Rectification Ratio,543
362,659,35,Reverse leakage current,54
363,657,41,Sharpness of interface,1
364,657,26,Total Number of Layers,7
365,657,19,Deposition Technique,11
366,656,9,Melting point,50
367,655,40,Annealing Temperature,447
368,654,49,Dielectric Function Imaginary Part,1
369,653,13,Bandwidth,632
370,652,20,Seebeck Coefficient,487
371,651,28,Ionization Energy,431
372,651,19,Optical Emission,463
373,646,25,Stokes Shift,469
374,645,26,Carbon concentration,143
375,644,34,Magnetization Saturation,4
376,642,45,J-V Characteristics,245
377,642,21,RHEED Pattern,506
378,641,32,Etch pit density,54
379,640,8,Number of Pairs,319
380,638,94,Cathodoluminescence intensity,2
381,637,9,Glass transition temperature,88
382,636,55,Gate Leakage Current,351
383,634,57,Photocatalytic Degradation Rate,30
384,631,42,In-plane Strain,202
385,622,2,Period,603
386,621,2,In Content,467
387,619,19,Linewidth,346
388,619,7,PL Lifetimes,26
389,618,126,Radiative Recombination Rate,131
390,614,2,Carrier type,47
391,613,14,Defects,575
392,612,35,Lattice matching,27
393,612,32,Thermal-Expansion Coefficient,1
394,610,3,Peak energy,55
395,608,51,Dipole Moment,327
396,608,17,Optical Property,527
397,607,20,Oxygen Content,462
398,607,7,Crystal Size,433
399,606,20,Decomposition temperature,73
400,605,25,Capture Cross-Section,44
401,604,5,Contact type,77
402,603,95,Observation of Persistent Photoconductivity,3
403,602,43,Traps density,2
404,589,4,Growth Method,498
405,587,46,Band Diagram,337
406,587,43,Lattice-strain,4
407,587,20,Optical energy gap,101
408,587,4,Surface topography,59
409,585,25,Free Electron Concentration,272
410,582,12,Barrier Width,463
411,581,14,Ionization Potential,429
412,580,26,Oxygen concentration,126
413,579,20,Carbon content,115
414,578,15,Size and Size Distribution,1
415,577,2,PL FWHM,576
416,575,3,Emission,572
417,570,2,Sheet carrier concentration,140
418,568,35,Si Concentration,214
419,568,11,Bulk modulus,224
420,565,16,Mobility in 2DEG,1
421,563,24,Magnetic Moment,315
422,562,28,Open circuit photovoltage,22
423,562,14,Detectivity (D*),368
424,560,5,Absorption Peak Wavelengths,9
425,559,72,Absorption band,104
426,555,59,Effective Hole Mass,39
427,553,31,Maximum Output Power,353
428,551,32,Shell Thickness,379
429,548,6,Average Height,443
430,547,30,Etch Depth,435
431,547,17,X-ray diffraction pattern,94
432,541,6,Dielectric Function,375
433,539,17,Crystalline Volume Fraction,241
434,538,16,Contact angle,23
435,537,14,Figure of merit,71
436,534,30,Residual strain,54
437,531,41,Diffusion length,88
438,530,16,Noise equivalent power,13
439,529,46,Phonon Frequency,202
440,528,3,Microstrain,519
441,527,109,Photocurrent Decay Time,56
442,526,24,Mole Fraction,188
443,525,5,Lifetime,504
444,524,41,Trap Concentration,270
445,522,55,Polarization,207
446,517,28,Maximum Transconductance (extrinsic),1
447,517,16,Deep Level Concentration,383
448,517,13,Raman Modes Present,3
449,514,5,Interface/Structure,22
450,513,57,Electroluminescence Intensity,172
451,513,28,Charge Carriers Mobility,5
452,511,26,Donor Density,244
453,510,39,Chemical Bonding,219
454,509,48,Valence Band Structure,131
455,509,21,Unit cell volume,74
456,508,80,Wavelength of Peak Responsivity,7
457,508,64,Photocurrent spectra,17
458,508,30,Cutoff frequency,51
459,501,30,Signal-to-noise ratio,24
460,500,6,Built-in potential,121
461,499,39,XRD Peak Position,267
462,498,12,Active Area Area,2
463,495,67,Rejection Ratio (UV-to-visible),3
464,495,2,Energy,494
465,494,46,Growth mechanism,49
466,494,24,Oxidation Potential,184
467,492,30,Surface Coverage,378
468,492,28,Peak Responsivity,391
469,492,25,Gap size,31
470,491,28,Photoconductive Gain,249
471,490,27,Surface Energy,317
472,490,12,Curie Temperature,373
473,489,17,Implantation Total Dose,3
474,488,7,Substrate material,65
475,484,29,Al Concentration,190
476,484,3,Coverage,481
477,482,49,Fluorescence lifetime,50
478,482,20,Hall Coefficient,343
479,481,37,Activation energy of dark conductivity,49
480,481,33,Optical Output Power,164
481,480,33,Substrate Temperature,378
482,479,20,Insertion loss,16
483,479,18,Bond Angles,49
484,477,24,Band Bending,251
485,476,20,Maximum drain current,23
486,475,4,Metric,468
487,474,66,Ga/In ratio,1
488,472,39,Thickness uniformity,29
489,471,68,Photocurrent intensity,8
490,469,14,Photoluminescence quantum yields,1
491,468,20,Flow Rate,302
492,468,10,Magnetization,414
493,467,24,Nitrogen Concentration,325
494,467,8,Depth,453
495,467,3,XRD FWHM,461
496,466,25,Photoluminescence (PL) Emission,298
497,466,24,Field-effect Mobility,44
498,459,7,Fall time,43
499,458,65,Photoluminescence emission energy,11
500,457,25,Dynamic Range,250
501,457,23,Impurity Content,143
502,452,98,Temperature Dependence of PL Peak Energy,61
503,452,22,Transmission Spectrum,226
504,451,115,GaN barrier thickness,36
505,449,60,Corresponding Radiative Lifetime,2
506,449,22,Hydrogen Concentration,260
507,448,17,Top-view Morphology (Overview),1
508,445,52,Screw-Dislocation Density,6
509,445,29,Thermal Resistance,359
510,442,3,Periodicity,440
511,440,41,Phase Separation,258
512,440,9,Configuration,430
513,438,13,Geometry,350
514,437,103,Laser Emission Wavelength,67
515,436,19,Series Resistance (Rs),304
516,436,15,Electronic structure,78
517,435,10,Interface Abruptness,348
518,434,24,Finger width,47
519,434,10,Alloy composition,122
520,430,5,Peak Wavelength,359
521,429,2,Relative Permittivity,276
522,428,71,Photoluminescence decay time,26
523,427,2,Onset potential,86
524,425,5,Substrate Type,334
525,423,27,Atomic Concentration,244
526,423,4,Distribution,383
527,422,11,Interface,399
528,421,64,Epitaxial growth,30
529,421,17,Electric field distribution,81
530,420,13,Depletion width,88
531,417,31,Interface-Trap Density,5
532,415,25,Deposition temperature,13
533,412,11,Polycrystalline nature,124
534,411,4,Elemental Distribution,356
535,409,41,Si-doping Concentration,10
536,409,14,Inner diameter,34
537,409,10,Implantation energy,58
538,407,38,Electroluminescence,191
539,407,14,PL Quantum Yield (PL),2
540,406,16,Photovoltaic efficiency,50
541,402,27,In-Plane Orientation,23
542,401,41,3-dB Bandwidth,165
543,400,76,Photoconductivity Spectrum,107
544,400,34,Lattice Fringe Spacing,256
545,400,34,Lasing Threshold,186
546,400,18,Maximum Oscillation Frequency,186
547,397,37,Relaxation Time,162
548,397,36,Charge density,16
549,397,8,Surface Structure,296
550,396,56,Conduction Band-Edge,3
551,396,32,Presence of Defects,201
552,395,30,Diffusion Coefficient,255
553,394,20,Thermal Decomposition Temperature,240
554,393,107,Presence of Si-C Bond,4
555,393,64,O 1s binding energy,41
556,393,31,Superlattice period,35
557,393,24,Thermal activation energy,45
558,393,11,Structural properties,40
559,392,32,Grating period,43
560,390,8,Polytypes,6
561,389,35,Bias voltage,31
562,389,13,Wall Thickness,275
563,380,31,Active-layer Thickness,1
564,380,6,Reproducibility,370
565,379,6,Pixel Pitch,339
566,378,50,Exciton Lifetime,157
567,378,32,Wall-plug efficiency,4
568,378,13,Functional Groups,260
569,376,22,Water contact angle,23
570,375,12,Poisson’s Ratio,29
571,374,38,PL Full-Width at Half-Maximum,9
572,374,13,Electric field,63
573,373,5,Number of QWs,358
574,372,30,Valence States,36
575,371,39,Reflectance Spectra,31
576,369,46,Peak intensity,26
577,369,32,Interface Roughness,251
578,369,27,Photovoltaic Effect,102
579,368,15,Charge Transfer,258
580,366,15,Spectral Range,117
581,364,3,Physical form,13
582,363,86,Yellow Luminescence intensity,6
583,363,9,Zeta Potential,283
584,362,18,Extinction Ratio,246
585,361,13,FTIR Spectrum,149
586,360,39,Mn Concentration,203
587,359,57,Recombination,90
588,359,50,Core-level binding energy,33
589,358,75,Deep-level-emission,1
590,358,27,Light-harvesting Efficiency,16
591,358,2,Value,356
592,357,22,Interplanar Distance,202
593,357,17,Hysteresis,326
594,356,34,On-Off current ratio,4
595,356,13,Coercive field,32
596,353,10,Photovoltage,317
597,352,30,Optical transition energy,22
598,352,14,Composition (x),195
599,352,11,Flat-Band Voltage,7
600,349,2,Conductance,332
601,348,40,Wavelength range,16
602,348,21,Tensile Strain,113
603,348,21,Photoconversion Efficiency,242
604,347,5,Molecular structure,97
605,346,91,PL integrated intensity,12
606,346,16,Photoluminescence FWHM,318
607,345,27,Crystal plane,41
608,344,21,Defect concentration,80
609,342,56,Conductivity Activation Energy,52
610,342,33,V/III-ratio,3
611,342,16,Surface potential,62
612,342,11,Dihedral angles,31
613,341,51,Growth Morphology,176
614,341,19,Amorphous nature,70
615,341,4,Root Mean Squared Roughness,4
616,341,2,Current,330
617,340,87,Excitonic Transition Energy,53
618,340,30,Radius of Curvature,159
619,339,35,Equivalent oxide thickness,15
620,339,11,Bandgap (EG),9
621,339,10,Alignment,329
622,339,10,BET Surface Area,253
623,338,32,PL Emission Energy,212
624,338,19,Electrochemical behavior,42
625,338,18,Resonance wavelength,32
626,338,6,Operating voltage,15
627,337,9,Not Explicitly Characterized,76
628,337,5,Performance,321
629,336,38,Cyclic voltammetry,39
630,335,2,LUMO,325
631,334,49,Excitation Energy (Ex),12
632,334,2,Recombination resistance,58
633,333,77,Grain Boundary,9
634,333,19,Relaxation,189
635,333,7,Texture coefficient,35
636,333,2,Optical bandgap energy,57
637,332,27,Conduction Band Minimum,256
638,331,57,XRD Peak Intensity,160
639,329,42,Defect Energy Level,51
640,329,40,Quantum Well Thickness,222
641,328,57,Phonon energy,34
642,328,11,Current efficiency,6
643,326,48,Electroluminescence (EL) Peak Intensity,11
644,326,39,Confinement Potential,138
645,325,23,Channel length,26
646,324,6,Diameter (Mean),3
647,322,24,Buffer layer thickness,38
648,322,19,Tilt angle,43
649,322,19,Surface termination,126
650,320,52,Strain Relaxation,133
651,320,20,Mesa diameter,24
652,319,27,π-π stacking distance,39
653,318,8,Domain Size,263
654,318,8,Internal loss,25
655,317,16,Optical reflectance,37
656,317,2,Formation,316
657,316,21,Temperature Dependence,215
658,316,18,Power-Added Efficiency,90
659,316,2,Elastic constant,110
660,315,7,Magnetic Properties,215
661,314,15,2DEG Density,221
662,313,40,Absorption Bands,169
663,313,16,Core diameter,51
664,313,15,Pit density,8
665,312,53,Raman intensity,3
666,312,30,Photoluminescence efficiency,9
667,312,27,Stripe Width,223
668,311,44,Luminescence Peak Energy,127
669,309,9,Resolution,256
670,308,14,Junction Depth,248
671,308,14,Elasticity Modulus,6
672,307,13,Electrochemical Band Gap,227
673,307,2,Optical conductivity,61
674,306,50,Trap energy,23
675,305,65,FWHM of Raman peak,6
676,305,4,Reverse breakdown voltage,29
677,304,55,Free-carrier concentration,114
678,304,19,XRC FWHMs,4
679,304,18,Surface Quality,244
680,304,5,Emission maximum,70
681,303,38,IR Spectrum,77
682,303,34,Diode-Ideality Factor,1
683,302,60,Photocurrent stability,37
684,302,33,Dielectric Permittivity,124
685,302,3,Semiconductor Type,264
686,301,41,XRD Rocking Curve FWHM,107
687,301,31,Absorber thickness,25
688,301,13,Propagation Loss,234
689,301,4,FTIR peak,28
690,301,2,Ratio,300
691,300,7,Interlayer Distance,186
692,298,21,Dark resistivity,44
693,298,16,Defect type,65
694,298,13,SEM image,55
695,296,25,Bondings,2
696,295,63,Dark Current-Voltage characteristics,6
697,295,17,Dye loading,40
698,295,16,ON-resistance,17
699,293,24,Optical Loss,103
700,293,21,Field Enhancement Factor,148
701,293,11,Chip size,24
702,292,59,Capacitance-voltage characteristics,13
703,292,29,Hall Electron Mobility,65
704,292,10,Permittivity,236
705,290,36,Current gain cut-off frequency,22
706,290,16,Optical Transparency,218
707,289,19,Surface photovoltage,22
708,289,9,Areal density,26
709,289,9,Symmetry,275
710,289,3,Spacing,285
711,288,23,Diffusion Length (Electron),2
712,288,18,Fluorescence Quantum Yield,183
713,288,7,Pore Volume,213
714,287,36,Photocurrent Generation,171
715,287,25,Hole diameter,14
716,286,31,Valence Band Maximum (VBM),155
717,285,22,Step height,42
718,285,19,Photoluminescence Linewidth,178
719,285,12,Pinch-Off Voltage,6
720,285,10,Net-Acceptor Concentration,2
721,285,10,Structure/Type,3
722,284,30,Maximum Current Density,91
723,284,2,Number,283
724,283,53,Stimulated Emission Threshold Intensity,12
725,282,23,Fabrication Technique,14
726,282,10,Drain current,20
727,281,49,Misfit Dislocations,54
728,281,26,Boron Concentration,144
729,281,12,Doping profiles,1
730,281,11,Energy level alignment,49
731,281,5,Electrical resistance,27
732,280,4,Pitch,274
733,279,11,Loss dielectric,1
734,279,6,Photostability,271
735,278,41,Photoelectrochemical Response,52
736,278,18,Recombination Lifetime,180
737,278,18,Magnetoresistance,235
738,277,12,Conduction mechanism,50
739,277,8,Growth Time,205
740,276,58,Photoluminescence (PL) properties,31
741,276,54,Band-Edge Emission,4
742,276,42,Deep level defects,11
743,276,40,Electroluminescence (EL) Peak Wavelength,135
744,276,26,Hole Density,161
745,276,4,Absorption range,60
746,275,16,Pixel Size,216
747,275,10,Open-circuit Potential,15
748,275,6,Operability,270
749,274,32,Heterojunction formation,14
750,274,11,Subthreshold Swing (S),1
751,273,22,Ground state energy,37
752,273,6,Built-in-voltage,1
753,272,45,CW Output Power,83
754,272,4,Linear Range,248
755,269,17,Resonant Frequency,195
756,268,37,Photocatalytic H2 Evolution Rate,68
757,268,27,Noise-Equivalent Temperature Difference,15
758,268,13,Electrochemical Impedance Spectroscopy,109
759,268,6,Volume,249
760,268,5,Yield,259
761,267,43,Emission linewidth,7
762,267,6,Measurement Method,240
763,267,4,Average Thickness,217
764,266,16,Built-in electric field,73
765,265,33,Diffraction peak,7
766,265,30,Photoelectric Conversion Efficiency,112
767,265,25,Frame rate,13
768,265,8,Sheet Electron Density,168
769,264,39,Fluorescence Spectrum,73
770,264,26,Charge Carriers Concentration,7
771,264,26,Mesa Structure,162
772,264,3,Electrical Type,221
773,262,16,Optical Constants,134
774,262,10,Power Consumption,200
775,260,33,Emission spectra,17
776,260,32,Period thickness,30
777,260,27,Orientation of Substrate,2
778,260,25,Resonance Frequency,163
779,260,21,Absorption efficiency,13
780,258,28,Photoluminescence Quenching,165
781,258,28,Deep level energy,2
782,258,10,Intensity Ratio,199
783,258,7,Compensation Ratio,211
784,258,5,Overall conversion efficiency,99
785,258,3,Cohesive energy,48
786,257,17,Noise Figure,223
787,257,2,State,254
788,256,35,FTIR Absorption Peak,62
789,256,9,Phase identification,25
790,256,3,Number of Wells,180
791,255,29,X-ray Diffraction FWHM,154
792,254,65,Cladding layer thickness,2
793,253,42,Drain Current in Saturation,2
794,252,26,Unit Cell Parameters,119
795,252,23,Energy level of the highest occupied molecular orbital,3
796,252,5,Lattice structure,49
797,252,4,SEM,223
798,250,37,Superconducting Gap,62
799,250,29,Thickness of QW,4
800,249,10,Background Carrier Concentration,180
801,249,9,Haze Values,1
802,248,22,Piezoelectric Coefficient,115
803,248,22,Surface state,27
804,248,19,Cell efficiency,20
805,248,6,Plan-view morphology,45
806,247,52,Spectral Photoresponse,50
807,247,17,Depletion-layer width,2
808,247,9,Raman mode,20
809,246,22,Spontaneous Polarization,163
810,245,77,Full Width at Half Maximum (FWHM) of PL Peak,36
811,245,50,Cu/(Zn + Sn) Ratio,21
812,245,33,Peak Transconductance,105
813,245,8,Topography,237
814,245,2,XPS,242
815,244,18,Indium concentration,36
816,243,46,Core/Shell structure,7
817,243,28,Oxygen vacancies,24
818,243,18,ION/IOFF ratio,1
819,243,13,Impedance,207
820,243,11,Micro-Strain,7
821,243,4,Electrochemical properties,21
822,242,63,Exciton absorption peak,15
823,242,28,Noise spectral density,3
824,242,24,Output power density,15
825,242,23,EL Intensity,85
826,242,21,CIE Chromaticity Coordinates,94
827,242,20,Overall Structure Morphology,21
828,242,17,Side-Mode Suppression Ratio,93
