material_name,Frequency
CdZnTe Substrate,65
cBN,65
AlGaN barrier layer,65
GaN (n-type),65
Al0.4Ga0.6As,65
GaP substrate,65
AlGaN layer,64
GaAs Quantum Well (QW),64
AlN interlayer,64
GaN channel layer,64
InGaN layer,64
Silicon Nitride (SiNx),64
CIGS absorber,64
PVK,64
Selenium (Se),63
ZnO Nanorods (NRs),63
CaF2,63
p-a-SiC:H,63
CNTs,63
Undoped GaN Layer,63
p-InP,63
ZnO Film,63
PC60BM,63
n-GaAs Substrate,63
CIS,63
Al0.5Ga0.5N,63
Si(100) substrate,63
Aluminium (Al),63
GQDs,62
InGaN/GaN,62
PbS Quantum Dots,62
Al0.3Ga0.7N,62
Cs,62
Monolayer MoS2,62
CuGaSe2,62
Si(100) Substrate,62
6H-SiC substrate,62
GaN Well,61
α-Ga2O3,61
n-InP,61
Grating,61
GaN Channel Layer,61
GaAs Spacer Layer,61
W,61
ZnO seed layer,60
Sulfur (S),60
GaAs Layer,60
TiOx,60
GaSb Buffer Layer,60
ZnPc,60
MoTe2,60
I,60
PANI,60
InGaN/GaN Multiple Quantum Wells (MQWs),60
Hg1-xCdxTe (MCT),60
Silica (SiO2),60
AlN film,59
Silicon Nitride (SiN),59
BiFeO3,59
CuInSe2 (CIS),59
Si dopant,59
P3HT:PCBM blend,59
GaN buffer,59
Passivation Layer,59
GaAs Barrier,59
AlGaAsSb,58
Be,58
InGaN Quantum Well (QW),58
CdSe core,58
CdSe/ZnS Quantum Dots (QDs),58
GaAs Contact Layer,58
Co3O4,57
FeS2,57
CIGSe,57
Ga0.5In0.5P,57
GaAs quantum well,57
a-Si1-xCx:H,57
ZnO (Substrate),57
AlN Interlayer,57
PDMS,57
Silicon Nitride,57
Al0.1Ga0.9N,57
GaN (Template),56
Active Region,56
Zinc (Zn),56
TiO2 film,56
GaAsSb,56
IZO,55
GaAlAs,55
CdSe Core,55
Mo back contact,55
InP:Fe,55
4H–SiC,55
GaAs Well,55
Quantum Dot,55
AlN barrier,55
Black Phosphorus (BP),55
Mo Back Contact,55
GaP Substrate,55
Al0.5Ga0.5As,55
Ti/Au Electrodes,54
Two-dimensional electron gas (2DEG),54
Sb2Te3,54
HgCdTe Epilayer,54
α-Fe2O3,54
Silicon Nitride (Si3N4),54
GaN template layer,54
AlGaN barrier,54
Waveguide,54
QDs,54
InGaAs Quantum Dots (QDs),54
FAPbI3,53
β-SiC,53
Au Nanoparticles,53
Si (Silicon),53
Semi-insulating GaAs substrate,53
GaN (p-type),53
Sapphire (Al₂O₃),53
a-SiGe:H,53
AlN Nucleation Layer (NL),53
AlN Barrier,52
Nb,52
m-plane GaN,52
3C–SiC,52
GaAs (substrate),52
GaAs Epitaxial Layer,52
GaN Channel,52
GaN-based LED structure,52
Source/Drain Contacts,52
GaAs Active Layer,52
AlN (Buffer Layer),52
p-type GaN layer,52
GaN Capping Layer,51
GaAs Contact Layers,51
GaN:Eu,51
GaN Nanorods,51
BSA,51
6H-SiC Substrate,51
GaN:Er,51
Graphene Oxide (GO),50
6H–SiC,50
GaAs Matrix,50
TiO2 (P25),50
p-AlGaN,50
"Cu(In,Ga)Se2 (CIGS)",50
CdTe buffer layer,50
AZO (ZnO:Al),50
GaInAsSb,50
Ga1-xAlxAs,50
AlInGaN,50
ReS2,50
AlInN,50
Cadmium Telluride (CdTe),49
GaN HEMT,49
p-Si Substrate,49
Si Dopant,49
IGZO,49
GaN barriers,49
Eu,49
FTO glass substrate,49
Polymer,49
InGaN (Well),49
Alq3,48
GaAs Quantum Wells (QWs),48
CdCl2,48
Silver,48
InAsSb,48
CdSe Nanocrystals,48
Nb2O5,48
Undoped a-Si:H,48
ITO layer,48
In0.15Ga0.85As,48
PM6,48
RGO,48
Mo (Back Contact),48
ZnS Shell,48
Dislocations,48
GaN Quantum Dots (QDs),47
Silicon (Si) substrate,47
ZnO (Core),47
Hydrogenated Amorphous Silicon (a-Si:H),47
CdTe Quantum Dots (QDs),47
AlN Template,47
Active Layer,47
Si(100),47
N-polar GaN,47
Defects,47
IT-4F,47
ZnO nanowire,47
PbS Quantum Dots (QDs),47
InAs quantum dots,47
InGaN QWs,47
CdS (Buffer Layer),47
Ag nanoparticles,47
InGaN well,46
n-GaAs substrate,46
AlGaAs Barrier,46
AlGaAs Barriers,46
Pentacene,46
Polyaniline (PANI),46
ZnO (Buffer Layer),46
c-GaN,46
CdS:O,46
NiOx,46
p-GaN:Mg,46
Phosphorus (P),46
AgNWs,46
In0.2Ga0.8As,46
Cu2ZnSnS4,46
TiO2 (anatase),46
MgxZn1-xO,45
ZnO (host),45
CdSe NCs,45
GaAs MESFET,45
Ca,45
AlN substrate,45
Cs2AgBiBr6,45
Bi2O3,45
Al0.25Ga0.75As,45
GaN (Undoped),45
C70,45
Sapphire (Al2O3) Substrate,45
CH3NH3PbBr3,45
"Cu(In,Ga)Se2",45
Ta2O5,45
InGaAs Quantum Dots,45
Boron,45
Polysulfide Electrolyte,45
CdSe QD,45
CIGS Absorber Layer,45
ZnO (Nanorods),45
SLG,45
ZnO Nanorod,44
GaN Quantum Well (QW),44
a-SiCx:H,44
Al2O3 Gate Dielectric,44
Air Gap,44
Cobalt (Co),44
InAs QD,44
Two-Dimensional Electron Gas (2DEG),44
H2,44
Bismuth (Bi),44
LiNbO3,44
GaN Barrier Layer,44
Au Electrodes,43
Si QDs,43
GaN barrier layer,43
Al0.35Ga0.65As,43
TiO2 (Titanium Dioxide),43
SrTiO3 (STO),43
b-Ga2O3,43
p-GaN contact layer,43
AlN Buffer,43
Wetting Layer,43
Au electrode,43
GaNAs,43
CdTe (Cadmium Telluride),43
CZTS absorber layer,43
Porous Silicon (PS),43
Cu2SnS3 (CTS),43
ZnO Quantum Dots (QDs),43
CsPbI2Br,43
Polystyrene (PS),43
n+-GaAs,43
InGaN (Quantum Well),43
i-ZnO layer,43
GaN thin film,43
TFB,43
AlGaN/GaN,43
CdSe/ZnS,42
ZTO,42
InP buffer layer,42
GaAs (Gallium Arsenide),42
InGaN QW,42
AlN Epilayer,42
Au Contact,42
GaAs quantum wells,42
CdTe Buffer Layer,42
TaN,42
PTAA,42
MWCNT,42
Ohmic Contact,42
Gate Electrode,42
n-Si substrate,42
CIGSSe,42
InGaAs QDs,42
ZnS:Mn,42
Amorphous Silicon (a-Si:H),42
Tellurium (Te),42
CdS nanoparticles,42
BaTiO3,42
TiO2 (anatase phase),42
Pt/Au,42
GaAs (Undoped),42
Si:H,42
a-IGZO,41
PEIE,41
In0.5Ga0.5As QDs,41
DLC,41
BP,41
Si(001) Substrate,41
CNT,41
Al2O3 substrate,41
Beryllium (Be),41
Diamond film,41
InGaN Quantum Wells,41
Gd2O3,41
Titanium,41
Bulk GaN Substrate,41
GaAs Cap,41
GaAs (Quantum Well),41
InGaAs Quantum Well,41
TiO2 nanotubes,41
β-FeSi2,41
PS,41
InGaAs Quantum Dot,40
GaAs (Epilayer),40
ZnO (Epilayer),40
TCO,40
Si-doped GaN layer,40
Al:ZnO,40
6H–SiC substrate,40
Undoped GaAs Buffer Layer,40
"(Al,Ga)As",40
n+-GaN,40
InGaN well layer,40
Ag Nanoparticles,40
GaAs (Host),40
FTO Substrate,40
Indium Bumps,40
In2Se3,40
Emitter,40
BaF2,40
p-GaN Cap Layer,40
GaN NWs,40
c-BN,40
Alumina (Al2O3),39
LT-GaN,39
Poly(3-hexylthiophene) (P3HT),39
P3HT:PCBM Blend,39
AlN (Barrier),39
CdSe/ZnS core/shell QDs,39
InAs/GaSb Superlattice,39
n-CdS,39
GaAs/AlGaAs heterostructure,39
UID GaN,39
MDMO-PPV,39
Au electrodes,39
Argon (Ar),39
GaSb (Substrate),39
Y6,39
LT-AlN,39
Si (substrate),39
GaAs epitaxial layer,39
Silica,39
ZnO Buffer Layer,39
SiNx passivation layer,38
p-GaN Contact Layer,38
AlGaAs Cladding Layers,38
In0.5Ga0.5As,38
Anatase TiO2,38
Zn2SnO4,38
AuNPs,38
Platinum,38
CuGaS2,38
GaInN,38
GaAsBi,38
NbN,38
Cd1-xZnxTe,38
SiO2 Passivation Layer,38
Al0.2Ga0.8As,38
CdSe (Core),38
GaAs Nanowires,38
AlN template,38
Metal Contacts,38
AlAs Barrier,38
Al0.35Ga0.65N,38
CdTe Quantum Dots,38
O2,38
nc-Si,38
SiGe,37
Indium Phosphide (InP),37
ZnCdSe,37
Y2O3,37
Hexagonal Boron Nitride (h-BN),37
InGaAlAs,37
CQDs,37
PI,37
CdTe substrate,37
LT-GaAs,37
CdTe Substrate,37
GaN cap,37
Bi2O2Se,37
Si-doped GaAs,37
Au nanoparticles,37
Sapphire (Al2O3) substrate,37
GaN capping layer,37
Undoped GaN Buffer Layer,37
ZnS shell,37
MgS,37
AlGaN Buffer Layer,37
4H-SiC epitaxial layer,37
Li,36
Cd1-xZnxS,36
P3,36
Cu3BiS3,36
Carbon Nanotubes (CNTs),36
Overall Structure,36
2DEG (Two-Dimensional Electron Gas),36
Ni/Al,36
FTO Glass Substrate,36
GaN nanocolumns,36
HgCdTe (Mercury Cadmium Telluride),36
AgInS2,36
GaN Quantum Well,36
InAs Quantum Dot,36
GaN (Gallium Nitride),36
ZnO Layer,36
InGaAsP/InP,36
Si (111),36
Polysilicon,36
N3 dye,36
Al0.7Ga0.3As,36
GaAs (n-type),36
Gate Contact,36
PVP,36
AlN buffer,36
Al0.6Ga0.4As,36
GaAs (Cap Layer),36
ZnO Nanoparticles (NPs),36
CdS Shell,35
InN film,35
Si-PCPDTBT,35
InGaAs layer,35
Iodine (I),35
Gd,35
NCD,35
Cap Layer,35
ZnO Epilayer,35
InGaN Well Layer,35
Device,35
Gate Metal,35
GaN Cap,35
n-type GaAs,35
CdS Nanoparticles,35
GaAs Barriers,35
Al0.7Ga0.3N,35
Fluorine (F),35
GaN barrier layers,35
i-GaN,35
Al0.45Ga0.55N,35
Chitosan,35
InGaN Quantum Well,35
Quartz substrate,34
Ge substrate,34
N719,34
Vanadium (V),34
ZnMgSSe,34
B,34
InGaAs Quantum Wells,34
TiO2 NPs,34
Al electrode,34
SnO,34
ZnO (Undoped),34
CH3NH3PbI3 (Perovskite),34
GaN (Cap Layer),34
CdTe NCs,34
Cu₂O,34
AlGaN/GaN heterostructure,34
Phosphorene,34
a-C:N,34
Rubrene,33
SnSe2,33
BiFeO3 (BFO),33
Hydrogenated amorphous silicon (a-Si:H),33
ZnO Nanowires (NWs),33
CdZnTe substrate,33
CdS shell,33
Rutile TiO2,33
ZnO (Film),33
AlInAs,33
Exciton,33
CdSeTe,33
BN film,33
Si (100) substrate,33
Si(1 1 1) substrate,33
Mesa,33
Ta3N5,33
FTO (Fluorine-doped tin oxide),33
SiO2/Si Substrate,33
FASnI3,33
SiC (Substrate),33
Cu2Se,33
ZnTe:Cu,33
Si-doped n-GaN,33
ZnO Thin Film,33
Cu2-xSe,33
Si1-yCy,33
Aluminum Oxide (Al2O3),32
GaN (host),32
Readout Integrated Circuit (ROIC),32
P3HT:PC61BM,32
CdTe (Absorber Layer),32
InAs layer,32
SiO₂,32
TCO (Transparent Conductive Oxide),32
AuGe/Ni/Au,32
Al Electrodes,32
InP Cap Layer,32
SWCNTs,32
CuSe,32
Semi-insulating GaAs,32
ZnSSe,32
n-GaN:Si,32
ZnIn2S4,32
Au Film,32
Alkaline Phosphatase (ALP),32
AlOx,32
Al0.4Ga0.6N,32
[ZnO],32
Titanium Dioxide (TiO2),32
PEDOT,32
Intrinsic a-Si:H,32
BaSi2,32
Al0.65Ga0.35N,32
Air holes,32
AlN (Aluminum Nitride),32
InAlGaN,32
H2O,32
Cl2,32
"(Ga,Mn)N",32
GeSe,32
Yb,32
AZO layer,32
PMMA Resist,31
Hydrogen,31
CdS layer,31
GaAsP,31
GaAs layers,31
MnAs,31
Semiconductor,31
GaSb Cap Layer,31
n-type GaAs substrate,31
Optical Fiber,31
Contact Layer,31
Undoped GaN buffer layer,31
NPB,31
GaN (Layer),31
In0.5Ga0.5P,31
ZnO substrate,31
In0.1Ga0.9N,31
CdS quantum dots (QDs),31
GaAs film,31
ZnO window layer,31
GaAs spacer layer,31
4H–SiC Epilayer,31
AlGaAs/GaAs,31
p+-GaAs,31
TiO2 nanorods,31
ScN,31
n-GaP,31
BiOI,31
TiO2 NRs,31
CsSnI3,31
InGaAsP Active Layer,31
Au layer,31
N-doped ZnO,31
GaAs contact layer,31
IEICO-4F,31
Mg-doped p-GaN,31
Absorber,31
GaN well,31
a-Si:H (i-layer),31
Tin (Sn),30
Pt counter electrode,30
SiNx Passivation Layer,30
InGaAs Quantum Well (QW),30
Epoxy,30
Mesa Structure,30
System,30
Oxide Layer,30
InAs quantum dot,30
"(In,Ga)N",30
Al0.6Ga0.4N,30
PPy,30
PdSe2,30
AlGaInP,30
Magnesium (Mg),30
N2,30
CdTe layer,30
Si (100) Substrate,30
4H–SiC Substrate,30
GaAs (Active Layer),30
Front Contact,30
TiO2 Nanoparticles,30
GaN Nanocolumns,30
GaSb buffer layer,30
ZrC,30
Hexagonal Boron Nitride (hBN),30
FeSe,30
n-InGaN,30
Al0.55Ga0.45N,30
a-CNx,30
GaN channel,30
Aluminium,30
InGaN/GaN MQW structure,30
ZnO:Al (AZO),30
Aluminium Nitride (AlN),29
Silane (SiH4),29
Si1-xGex,29
MZO,29
GaAs well,29
n-GaAs Buffer Layer,29
In0.15Ga0.85N,29
Chlorine (Cl),29
AuGeNi,29
ZnO Nanocrystals,29
Photodiode,29
AlN Spacer Layer,29
AlN Barriers,29
ROIC,29
Au film,29
Arsine (AsH3),29
Ohmic contacts,29
SiC Nanowires,29
Ridge,29
ICBA,29
SiC coating,29
CH3NH3PbI3-xClx,29
InGaAs quantum dots,29
HT-AlN,29
Al0.3Ga0.7As Barrier,29
CGS,29
PECVD SiO2,29
Sc2O3,29
n+-GaAs Substrate,29
CdIn2S4,29
Polypyrrole (PPy),29
Au Electrode,29
CuxS,29
ZnO core,29
SiO2 film,29
Si(1 1 1) Substrate,29
GaN Template Layer,28
Monolayer Graphene,28
Mg (Dopant),28
P3OT,28
CBP,28
u-GaN,28
TPBi,28
Cadmium Oxide (CdO),28
a-Ge:H,28
MgB2,28
MAPbCl3,28
p-CdTe,28
a-Si:H(i),28
InAs/GaAs Quantum Dots (QDs),28
SnTe,28
Si-doped GaN Layer,28
ITO substrate,28
Gold Nanoparticles,28
Gold (Au) film,28
SiC (3C polytype),28
Quantum dot,28
Ge Substrate,28
Boron-doped Diamond (BDD),28
Undoped GaAs layer,28
MCT (HgCdTe),28
Diamond-like Carbon (DLC),28
HCl,28
Active region,28
CdSe nanoparticles,28
Ridge Waveguide,28
K,28
GaN nanowire,28
Photoresist (PR),28
CH3NH3PbI3 perovskite,28
HT-GaN,28
Cavity,28
Silicon (Substrate),28
GaN (Channel Layer),28
3C-SiC film,28
Silicon (c-Si),28
Er2O3,28
n-GaN substrate,28
BeTe,28
n-CdTe,27
Ar,27
InGaN Quantum Dots (QDs),27
Quantum Point Contact (QPC),27
mc-Si,27
CdZnS,27
Molybdenum,27
Amorphous Carbon (a-C),27
InGaAs QW,27
Al1-xInxN,27
GaAs epilayer,27
AlAs Layer,27
Graphene Quantum Dots (GQDs),27
TiO2 (Anatase),27
P25 TiO2,27
Fused Silica,27
HgSe,27
Si Wafer,27
NH3 (Ammonia),27
GaN QW,27
p-type Si substrate,27
Electrode,27
FTO (SnO2:F),27
Si (dopant),27
Mn (Dopant),27
Bi2WO6,27
Yb3+,27
a-SiC,27
AsH3,27
CrN,27
ZnO Core,27
Streptavidin,27
AlN epilayer,27
GaS,27
GaN Nucleation Layer (NL),27
PC71BM (Fullerene Acceptor),27
Al Electrode,27
Au catalyst,27
i-a-SiGe:H,26
AlN seed layer,26
CVD Diamond Film,26
Fe3O4,26
Gold Electrodes,26
I2,26
Hole,26
Ohmic Contacts (Ti/Al/Ni/Au),26
MCT,26
AlGaN (Barrier),26
InP layer,26
Cu2ZnSnSe4,26
Nickel,26
SiNWs,26
Nitrogen (N2),26
mp-TiO2,26
Thiophene,26
CdS (Shell),26
"GaN (n-type, Si-doped)",26
Heat Sink,26
ALP,26
ZnTe buffer layer,26
SiO2/Si,26
SnOx,26
Diamond (C),26
PbS quantum dots,26
BCN,26
GaMnAs,26
Quantum Dots,26
AlN Spacer,26
Sn2S3,26
Al2O3 Layer,26
Oxygen (O2),26
CH3NH3PbI3 Perovskite,26
InGaAs Absorption Layer,26
α-Fe2O3 (Hematite),26
DNA,26
Si(001) substrate,26
ZnO nanosheets,26
Glucose Oxidase (GOx),26
n-TiO2,26
AlN (Nucleation Layer),26
Zn3P2,26
BFO,26
Read-Out Integrated Circuit (ROIC),26
Not applicable,26
Br,26
Dye,25
Tm,25
GaSb QDs,25
Semi-insulating GaAs Substrate,25
InP Barrier,25
In0.12Ga0.88N,25
ZnGa2O4,25
Al2O3 film,25
ZnO NCs,25
Si buffer layer,25
n-AlGaN,25
YSZ,25
GaN Quantum Dots,25
Laser Diode,25
Crystalline Silicon (c-Si),25
6H–SiC Substrate,25
AlN Film,25
Undoped GaN Epilayer,25
Tantalum (Ta),25
ZnO nanorod,25
ITO (Substrate),25
Optics,25
GaN Core,25
Hg1–xCdxTe,25
InAs Substrate,25
r-plane sapphire substrate,25
p+-GaN,25
Sn (Dopant),25
γ-Al2O3,25
InN layer,25
Gold Film,25
ZnTe Buffer Layer,25
InP/InGaAsP,25
InGaN/GaN MQW Active Region,25
ZnS Passivation Layer,25
4H-SiC (Substrate),25
Oxide,25
In0.5Ga0.5As Quantum Dots,25
GaAs (undoped),25
"Zn(S,O)",25
CdSe nanocrystals,25
TPD,25
Cyanoacrylic acid,25
n-InP Substrate,25
Polycrystalline Diamond,25
Ga1-xMnxN,25
CdZnO,25
LT-GaN buffer layer,24
MnS,24
SiC (Silicon Carbide),24
CTS,24
CdTe quantum dots,24
DLC film,24
CdSe/ZnS quantum dots,24
P4,24
Polycrystalline GaAs,24
ITO Layer,24
,24
AlN (Barrier Layer),24
Ga-doped ZnO,24
Eu3+ ions,24
Al (Electrode),24
p-AlGaN EBL,24
TiO2 Nanotubes,24
ZnFe2O4,24
α-Al2O3,24
Si wafer,24
LT-GaN Buffer Layer,24
Porous Silicon (PSi),24
n-GaAs buffer layer,24
MnO2,24
InGaN (Quantum Wells),24
Sulfur,24
n+ GaAs,24
InGaN active layer,24
Nafion,24
Si layer,24
Low-temperature GaN buffer layer,24
ALD-Al2O3,24
Top Contact,24
Au contacts,24
ZnSe:N,24
AZO (Aluminum doped Zinc Oxide),24
