Keyword,Count
coordination,7
transitions,14
saturated,8
wide,6
inter,12
planar,6
crystallization,4
focal,1
epilayer,8
flatband,5
drift,12
repetition,4
energies,14
vth,1
etched,13
island,12
measurements,4
vfb,2
out,10
valley,13
blend,12
electricity,5
coalescence,6
representation,1
tauc,8
preparation,5
flexibility,1
room,22
precursor,4
configurations,1
nep,1
synthesis,7
described,1
repeatability,2
spatial,18
provided,6
text,9
imaging,4
capability,18
amplitude,19
flux,25
correlation,17
mechanical,8
ohmic,7
varshni,5
majority,9
birefringence,1
redox,6
sidewall,13
antibacterial,1
location,17
nanowire,10
integration,7
sequence,8
interdiffusion,4
ordering,14
orbit,8
splitting,46
third,12
order,38
susceptibility,17
nanorod,8
purcell,3
under,23
process,11
fracture,6
toughness,1
rsh,2
electrocatalytic,1
morphological,9
changes,4
zeeman,7
isolation,9
afm,14
sensing,5
frontier,5
orbitals,1
distortion,6
packing,8
exchange,13
dot,23
dos,10
operation,21
fine,4
localization,21
dissociation,9
probability,25
beam,26
divergence,8
wafer,11
spacer,1
reported,5
temporal,4
infrared,20
brightness,4
hybridization,2
coordinate,1
photodegradation,2
wettability,5
flatness,6
data,5
unity,3
lines,13
rates,5
tolerance,8
parallel,6
photocapacitance,3
sulfur,4
ambipolar,3
charging,6
catalytic,1
native,3
oxides,2
relationships,1
mirror,9
filling,7
fret,2
bow,2
interatomic,1
return,4
vds,2
ionic,3
penetration,5
modification,3
percent,3
aln,24
sio,9
switching,21
injection,18
faradaic,1
correlated,1
aggregation,5
transient,27
epr,4
interaction,19
standard,11
deviation,17
contribution,25
contrast,14
rectifying,5
nanowires,3
steady,18
threaded,2
tdd,6
photoconductance,7
positron,5
vapor,5
diffuse,6
dephasing,5
hydrophobicity,1
matrix,7
viability,4
stated,1
cbo,1
pre,5
exponential,5
thermodynamic,4
stretching,24
impact,5
assisted,3
debye,3
rhb,4
inhomogeneous,3
broadening,25
vibration,14
zno,33
anisotropy,34
sticking,2
ligands,1
knee,1
trpl,7
fast,8
path,9
biexciton,6
interference,11
fringes,5
isb,5
pulsed,10
shifts,4
tetragonal,2
solution,4
avalanche,3
plqy,1
format,7
low,31
mqw,10
nucleation,18
subband,7
jth,2
trench,6
force,9
microscopy,8
dynamics,11
monolayers,2
remnant,2
zpl,2
thicknesses,3
resonator,5
stoichiometric,1
ratios,3
air,8
barriers,4
photoionization,6
source,32
feature,23
twist,6
sers,7
bader,3
associated,1
related,28
dimension,8
parasitic,9
local,15
lvm,5
phosphorus,7
dlts,9
dssc,6
bohr,2
richardson,1
collapse,3
variation,18
lamellar,6
correlations,1
blue,15
coulomb,14
duty,2
vbo,2
regime,7
deformation,13
oscillations,12
negative,9
mulliken,2
specificity,3
thz,14
reciprocal,6
map,4
retention,6
ingan,6
atoms,7
electrons,13
vickers,2
available,1
attenuation,7
tafel,2
bonds,18
nanocrystallite,1
arsenic,6
nmr,10
void,5
nominal,17
input,16
integrity,6
gaas,11
second,15
harmonic,6
law,3
exponent,14
semiconducting,2
environment,6
biocompatibility,1
materials,2
photodetector,6
photocarrier,5
max,9
electro,5
optic,4
atmosphere,2
production,16
mosaicity,3
during,13
burgers,2
vector,4
intersubband,7
tail,21
geometric,6
conformality,3
centers,8
spr,6
inversion,9
domains,8
rabi,5
segregation,8
operational,4
fluence,5
outer,4
sub,13
circular,2
waller,1
sensor,2
illuminated,7
encapsulation,1
fluctuations,5
timing,3
jitter,2
modulations,1
colloidal,1
tunneling,22
transit,4
double,5
adsorbed,4
microhardness,3
normalized,34
static,11
influence,7
kinetics,18
terrace,4
coulombic,1
wet,1
bound,27
common,4
emitter,18
fom,1
mentioned,1
spv,12
stack,6
led,5
layout,7
sample,16
microscope,1
groove,6
rod,6
fixed,5
studied,1
pdos,1
insulating,4
stiffness,3
functionalization,3
reactor,6
bowing,6
tem,10
images,2
intrinsic,17
misorientations,1
deficit,4
wave,14
eye,7
dominant,22
receiver,2
change,34
desorption,12
model,11
shubnikov,2
haas,2
along,3
fiber,12
smsr,1
electronegativity,1
remanent,2
voids,5
directly,3
measured,7
numerical,2
dbr,8
sputter,3
miniband,3
tangent,2
cellular,1
uptake,4
analysis,16
mosaic,6
plasmonic,5
ppc,4
agglomerate,1
diamagnetic,3
electrostatic,5
lowest,6
unoccupied,3
facets,10
rrec,2
radiation,15
pec,7
tension,1
cracking,6
wetting,4
tip,9
stopband,3
inn,10
cadmium,4
centre,3
applied,9
sims,5
components,6
misorientation,5
michaelis,2
menten,1
derivative,1
gpc,1
damage,22
channels,2
stark,6
discharge,2
quasiparticle,1
perfection,4
refraction,6
photoinduced,4
quasi,6
upconversion,4
dominance,2
sound,3
visual,2
appearance,6
polarizability,4
fluorine,4
faceting,2
loops,4
hyperpolarizability,1
ablation,6
slow,11
spot,7
tunability,8
isc,4
absorptivity,2
replica,3
sic,16
pump,13
robustness,2
confining,2
electrophilicity,2
chlorine,5
induced,22
generated,5
reaction,12
detector,12
indirect,14
algan,10
handling,2
huang,2
rhys,2
throughput,2
twinning,1
collector,12
polycrystallinity,2
accuracy,12
overlap,10
nanopore,2
relevance,1
slab,1
fractal,1
environmental,2
penalty,2
moire,2
ferroelectricity,1
pseudodielectric,2
metallization,2
micrograph,5
stages,1
square,8
transmissivity,2
wear,3
octahedral,6
tilting,1
blip,1
module,3
integral,9
transformation,2
solid,4
electromechanical,1
durability,1
hydrophilicity,1
cds,13
graphene,7
dangling,3
trapped,3
ambient,6
porous,4
metallicity,2
periphery,1
this,6
grown,3
photoelectron,2
luttinger,1
impulse,4
detuning,5
thermopower,1
removal,8
johnson,1
limited,11
with,45
inp,2
storage,5
site,10
pseudomorphic,2
supply,2
substitutional,10
preferential,4
interdot,6
illustration,1
projected,3
longitudinal,14
damping,12
heavy,11
cyclotron,4
gallium,5
pugh,1
bsf,3
anti,5
photosensitive,2
precipitates,2
gibbs,1
taper,3
pinhole,2
hooge,1
toxicity,1
shoulder,3
enzyme,1
confined,6
continuous,5
grading,7
silicon,16
saed,2
topology,3
trapping,13
intercept,1
antireflection,2
driving,7
regeneration,2
weighted,4
torsional,1
inclination,7
ldr,1
stacks,2
tio,11
photoluminescent,1
lande,1
satellite,12
pyroelectric,2
cycling,3
resolved,14
talk,1
footprint,1
solvent,2
blueshift,7
chirality,1
recrystallization,2
vertical,25
drop,3
incubation,1
overpotential,2
corrosion,6
spectroscopic,3
renormalization,2
ferroelectric,3
methylene,2
annihilation,3
iph,2
pillar,5
compression,4
burstein,1
moss,1
fmo,1
accumulation,7
normal,7
wire,3
spread,4
dispersity,1
resonances,2
finish,1
interparticle,5
challenges,2
pair,8
lag,2
behaviour,2
wing,1
polymerization,2
undercut,1
interdigital,1
aggregate,4
triplet,8
ionized,5
mott,8
optoelectronic,2
drs,1
miscut,2
whispering,1
gallery,1
electrolyte,4
epitaxy,2
equilibrium,11
soaking,2
self,13
eff,3
thresholds,1
fsr,1
forster,1
born,1
hydroxyl,3
stabilized,2
dry,1
ferromagnetic,6
drive,2
planes,7
finesse,2
penetrating,1
localized,9
lspr,4
holes,9
antiphase,4
monolayer,4
intermediate,7
nearest,4
neighbor,4
transimpedance,1
photoreflectance,2
rrms,1
delay,6
back,10
capping,5
pixels,3
apparent,12
spike,1
perp,1
ordered,1
illumination,20
membrane,3
effects,5
recyclability,1
failure,7
hillock,3
formula,6
non,14
stern,2
volmer,2
atom,7
clusters,5
magnitude,5
isoelectric,2
esr,7
alp,3
nanorods,2
tube,3
stop,9
prominent,3
chamber,2
planarization,1
confirmation,12
columnar,4
deuterium,1
initial,14
blockade,3
red,2
thermally,3
tsc,3
electrochromism,1
fmax,4
irradiation,9
linearity,9
reset,2
insulation,3
ethanol,1
nonradiative,8
metal,10
interplane,1
permeability,2
thermogravimetric,1
mounting,2
continuity,3
scan,10
ellipsometric,3
plots,1
radial,3
vbi,2
pbi,2
kondo,2
knoop,2
tsl,1
fingers,2
bottom,9
after,14
crystallite,7
locking,1
regions,1
midgap,5
cubic,5
stretched,2
seed,3
limiting,5
sites,4
nanohole,2
contacts,3
endurance,2
nonlinearity,3
verdet,1
outputs,1
swelling,1
eads,1
proliferation,1
twins,2
glucose,3
blinking,4
within,2
inhomogeneity,2
uniform,4
resistive,3
angularly,1
agent,1
immobilization,2
cluster,4
nanogap,1
antibunching,2
milling,2
abpe,2
nitridation,5
emittance,3
scanning,4
graded,3
intraband,5
subgap,4
hexagonal,6
odmr,5
zinc,3
guided,2
green,15
interstitial,1
over,2
dft,3
calculation,2
hamiltonian,2
srh,3
steepness,4
fss,2
inas,5
photoconduction,4
nir,6
concentrations,5
pendellosung,1
situ,2
overgrowth,2
photogeneration,1
wpe,1
thermo,1
multilayer,2
eigenvalues,1
agglomeration,1
leed,1
stm,2
photograph,3
asymmetric,5
shockley,5
design,6
tunnel,6
diamond,9
polishing,1
interconnection,1
window,8
incidence,4
magnetocrystalline,1
nanostructure,6
optimization,3
kmax,1
paramagnetic,2
micropipe,1
ggi,1
increase,7
acceptance,1
load,9
mapping,4
astigmatism,1
enzymatic,1
char,1
alas,6
reduced,6
lengths,6
moir,2
absorbed,9
eopt,2
tensor,8
component,19
ecl,4
referred,1
dichroism,1
asymmetry,5
emissions,5
disorder,11
heterogeneous,2
intermixing,2
species,9
reactivity,2
dissolution,3
punch,1
through,1
fmr,1
document,1
body,1
catalyst,3
pretreatment,2
rising,1
supercell,2
vibrating,1
hydrostatic,3
central,2
control,18
superconductivity,1
plastic,2
spectrometry,1
ebic,1
fractions,1
weibull,1
dingle,1
residue,2
bipolar,3
gasb,3
bend,2
admittance,1
intermodulation,1
distances,2
bunching,2
shallow,5
arm,2
shg,4
estimated,12
ocp,1
complementary,1
composite,4
tdos,1
precision,1
outcome,3
softness,2
clarity,1
kinetic,4
three,1
terminal,3
periodic,1
nitride,1
manganese,2
momentum,3
experimental,6
setup,5
intramolecular,1
oval,3
specular,4
twin,9
sublimation,1
fowler,4
nordheim,4
plot,9
occupancy,3
homogeneous,2
packaging,1
ple,3
character,7
overhauser,1
mcl,2
photopotential,2
multiplication,7
technology,2
node,1
catastrophic,3
rotational,4
below,3
phosphorous,1
boundaries,7
iodine,2
hot,6
cooling,11
losses,9
vacuum,7
fitting,4
channeling,2
erosion,2
rydberg,1
antimony,1
lmax,1
perpendicular,8
coloration,1
installed,1
interchain,2
repeats,1
nedt,1
goldschmidt,1
polymorph,1
alkaline,1
phosphatase,1
dispersive,3
eds,3
adjacent,3
humidity,4
mid,4
inclusions,3
recycling,1
infiltration,1
intensities,1
microcracks,1
simulation,7
pseudo,2
primary,4
imprint,1
deficiency,1
evaporation,2
intermolecular,3
eot,1
cells,2
cylinder,1
dilution,2
cleaning,4
photoresistance,1
afterpulsing,1
stretch,2
face,1
nanohardness,1
inclusion,1
silar,1
cycles,5
dap,4
blocking,8
singlet,8
droplets,3
freeze,1
ability,4
usage,1
amorphization,1
hopping,5
buckling,3
shelf,1
life,4
microcavity,2
epd,2
heterointerface,4
microtwins,1
radiance,2
unintentional,1
sputtering,2
mtf,1
mesoporous,1
indentation,2
warburg,1
set,1
ellipsometry,1
principle,2
tga,3
coupled,2
pits,7
optimal,9
idbs,1
counter,2
pmax,1
mbe,1
photoanode,2
fov,1
photocorrosion,1
readout,2
scheme,3
sdh,1
omega,2
mos,2
weights,1
geometrical,2
magnification,2
neutral,4
zone,4
pvr,1
edges,6
optimum,6
frequencies,2
abundance,2
stable,3
versus,2
exfoliation,1
nrs,2
excitons,2
shrinkage,2
mose,2
devices,2
positions,4
narrowing,2
pae,1
metals,1
detectable,3
heating,2
broad,4
pinholes,2
annual,3
subsurface,1
block,1
attempt,1
escape,4
sphere,1
electrochromic,2
branching,1
skin,1
branch,4
cathodic,3
boiling,1
saw,3
identity,3
products,2
eis,5
dynamical,1
opening,3
acoustic,8
management,1
calibration,3
lithographic,3
perovskite,5
faraday,3
rotation,7
relief,2
exposure,3
column,2
wavefunction,2
ectance,1
margin,1
mixing,6
cool,1
down,2
shock,1
serial,1
dead,3
description,6
sampling,1
energetic,2
die,1
assignment,2
insulator,5
ids,5
nanotube,1
zns,2
emitting,1
coherent,6
displacement,3
indices,1
occurrence,2
luminescent,1
erbium,2
contaminants,1
photochemical,1
infinite,1
irradiance,4
pull,1
dilation,1
hrxrd,3
mineralization,1
fano,2
bose,1
einstein,1
germanium,3
aharonov,1
bohm,1
fabry,4
perot,4
dir,1
positive,5
dle,7
uncompensated,3
working,2
interelectrode,1
autocorrelation,4
phosphorescence,2
pbte,1
pbs,1
loop,3
nanocrystalline,1
graphitic,2
chirp,1
sublayer,1
photoelectrocatalytic,1
rating,2
egap,3
calculated,7
colour,2
spring,1
contraction,1
extracted,2
metallic,4
types,1
definition,1
formaldehyde,1
joint,1
axial,3
ciency,3
conclusion,1
like,3
transients,1
interferometer,1
spectrally,3
nanocrystals,2
crater,3
sensitive,3
additional,1
via,1
soc,2
photothermal,2
inlet,3
nonuniformity,2
msat,1
copper,2
idark,6
spurious,1
scribe,2
signature,3
npa,1
substitution,5
only,2
ldos,1
carboxyl,1
strengths,1
incorporated,2
filled,1
amplification,4
recess,2
easy,1
vibrations,2
forming,2
lithium,2
typical,4
susceptor,1
assumption,1
neisen,1
memory,2
habit,2
addition,1
compactness,1
exergy,1
tetragonality,1
ase,3
photodetectivity,2
advantages,1
inertness,1
filament,2
nonadiabatic,1
des,1
photogenerated,4
white,1
jmax,1
one,3
uniaxial,1
nanosheet,1
superstructure,2
egopt,1
mis,1
ndr,3
initiation,1
microcrystalline,2
josephson,1
defectivity,1
radiant,3
nonequilibrium,2
von,1
phenol,2
fet,6
sintering,1
electrically,4
holding,1
chain,1
fidelity,3
lam,1
conformation,2
overlay,2
pores,2
converted,1
protein,1
mesoporosity,1
bilayers,1
gene,1
expression,1
creation,1
sapphire,5
rectified,1
snr,1
wagging,1
reactions,2
buried,1
resist,3
precipitate,2
ltpl,2
powder,1
polaron,6
entanglement,4
entropy,1
slit,1
donors,6
blackbody,2
blindness,2
post,2
droplet,1
interdigitated,2
interactions,3
mixed,4
rib,2
meg,2
repulsion,1
models,1
toc,1
sign,3
degeneracy,2
floor,1
decoherence,2
compositional,3
gamut,1
gauge,3
rin,1
moisture,3
occupation,6
natural,1
units,1
global,3
introduction,2
fesem,2
edx,4
quantification,1
mixture,3
patterned,2
template,2
inside,1
assembly,1
photoacoustic,1
containing,2
thermionic,4
everson,1
methyl,2
orange,3
hillocks,1
accommodation,1
slot,1
bragg,5
gold,1
injected,2
precursors,1
strip,1
magnesium,2
bird,1
cleavage,3
unloaded,2
metastability,1
displacements,1
hyperfine,5
suitability,2
monochromatic,3
jph,2
target,3
vectors,1
planarity,3
lowering,1
dichroic,1
sensitizer,1
franck,2
condon,2
interpore,1
ilight,2
islands,2
tendency,2
border,3
monthly,2
transistors,1
vswr,1
absolute,5
spectroelectrochemistry,1
used,5
association,1
doped,2
fluctuation,5
subbands,2
esa,1
redshift,4
alnxo,1
xanes,2
cdte,7
proximity,2
severity,1
convective,1
withdrawing,1
bilayer,2
donating,1
waist,1
microwave,7
interpenetrating,1
network,8
annually,1
cte,2
sink,1
extended,1
cone,2
ring,6
bistability,2
steps,3
overheating,1
resolvable,2
baliga,1
arrhenius,4
gixrd,1
adsorbates,1
exposed,1
curves,5
iron,2
adduct,1
elongation,1
heatsink,1
predicted,3
scratch,3
rster,2
processability,1
mechanoluminescence,1
functions,1
microphotograph,1
detective,1
miscibility,2
ehomo,1
stabilization,6
emf,2
sda,1
roa,3
rashba,3
subcell,1
respect,1
middle,1
cgs,1
franz,1
keldysh,1
ald,2
revealed,1
coherency,2
idss,1
isbt,2
amplitudes,4
demultiplexing,1
scintillation,2
har,1
supersaturation,1
granular,1
match,4
macropore,1
gummel,1
actuation,1
photoabsorption,1
monitoring,2
violet,2
migration,4
powered,2
magneto,2
isotherm,1
points,1
anomalous,4
photomicrograph,1
angular,5
adiabatic,2
backbone,1
exponents,1
anion,1
lineup,2
origin,3
biodegradable,1
cce,1
tcr,1
indicator,4
hahn,1
echo,1
ofet,3
cooler,1
latent,1
comparison,5
eloss,1
pcemax,1
empirical,2
dbe,3
znse,1
thermoluminescence,1
main,7
bleach,4
waveguiding,1
tpv,1
mask,5
structures,2
photoexcitation,1
visibility,4
spectrophotometer,1
replicas,3
lobe,1
tilted,2
pulsation,1
lux,1
ampere,3
conductor,1
separated,1
compliance,1
coherently,1
accelerating,1
homoepitaxial,1
caspase,1
sih,4
rscr,1
neutrality,2
scaling,3
predominant,1
patterning,2
distortions,1
neel,1
mobile,1
inhibition,2
polymer,3
implant,2
inherited,1
ipc,2
idc,1
pia,1
scr,2
nanowall,1
graphitization,2
ret,1
nuclei,5
radical,3
capital,1
hrtem,2
microdistortion,1
deposited,3
alternation,1
prefactor,2
amperometric,1
tft,1
directivity,1
reflactance,1
bpd,2
conductive,2
lens,2
hydride,2
aluminium,3
pyramid,4
sidebands,1
determination,2
tandem,2
asymmetrical,1
apds,2
radiated,2
nanocrystallites,2
photopleochroism,1
sensors,1
reflections,1
vbr,1
population,5
antimicrobial,1
spreading,2
mound,1
relation,3
engineering,3
photons,1
corner,2
effectiveness,3
grains,1
tin,2
texturing,1
wurtzite,1
biasing,2
gamma,2
albedo,1
stage,6
modulated,2
piezoresistive,3
particles,4
delamination,2
box,1
tdm,1
wavenumber,1
cobalt,1
upon,1
trend,9
front,7
strained,1
electroactive,1
rta,1
wind,2
vitro,1
cdse,3
iuv,2
decolorization,1
protection,2
windowing,1
molecules,1
collected,1
setting,1
coarse,1
tweed,1
photodetection,2
bandgaps,1
crossover,2
interval,1
quadrupole,2
chronoamperometry,1
warp,1
rated,2
blv,1
serum,1
moments,1
enhanced,1
interruption,1
ingaas,1
hemt,1
kerr,1
cation,2
bleaching,3
poole,1
frenkel,1
reconstructions,1
rollover,1
siox,1
quantization,1
anode,1
cathode,3
rsm,1
quarter,1
others,1
simulated,7
sweep,2
grid,3
nanodot,2
strong,1
matter,1
normalised,1
bridge,1
emitters,1
mttf,1
defective,3
transistor,3
anatase,2
dit,3
whisker,1
hse,2
plateau,1
requirement,1
switchable,1
cec,1
junctions,2
granule,1
microtwin,1
minor,1
symmetric,2
arising,1
due,7
alloying,2
triangular,2
waveband,1
weak,2
antilocalization,1
hepatoprotective,1
mcd,2
induction,1
organic,1
iphoto,1
macro,2
conjugation,2
lis,1
esd,2
triple,1
catalysis,1
liquidus,1
outgassing,1
tool,1
turns,1
methylammonium,1
dcxrd,3
skewness,1
qcse,1
transparent,2
polarized,1
plateaus,1
ions,2
electroluminescent,2
chromatic,1
flip,2
cnt,3
sun,2
filtering,1
nanocrystal,2
folded,1
meyer,1
neldel,1
rule,1
positioning,1
rear,2
agcl,1
optics,1
quantized,3
partially,1
compensated,1
chemisorbed,1
initiated,1
ionisation,1
gyration,1
nonsaturable,1
regrowth,2
new,2
determined,1
terahertz,3
mesfet,1
amo,1
neck,1
median,3
isotope,1
warpage,1
beating,1
variations,2
conjugated,1
abrasion,1
preference,1
hollow,1
hemispherical,1
quantity,1
ripple,1
imbalance,1
fxa,2
moth,1
ibe,2
ibb,1
ivoc,1
elo,1
delta,1
hydroxide,1
voltammetric,2
fabricated,1
rotations,2
higher,2
spsl,1
extension,1
electrophoretic,1
action,4
emw,1
eigenenergy,1
melt,3
micelle,1
apoptosis,1
isothermal,1
aqe,1
pout,1
moduli,1
early,1
host,1
vin,1
biofilm,2
legendre,1
polynomial,1
assessment,1
polycrystals,1
covalent,2
nonuniform,1
each,1
counting,1
indistinguishability,1
inhomogeneities,1
applications,1
discrimination,1
flicker,1
polarisation,1
remaining,2
inclined,1
modulator,2
isotropic,3
matched,1
fitted,2
clock,2
flake,2
switched,2
zeroth,2
bsfs,2
ito,2
photodiode,3
adhesive,1
ebulk,1
sulphur,1
corrected,1
