cluster_id,standard_property,count
cluster_1214,measurement,2
cluster_1215,film,2
cluster_1216,transfer,2
cluster_1217,mode,2
cluster_1218,chemical,2
cluster_1219,bond,2
cluster_122,interface,13
cluster_1220,donors,2
cluster_1221,flow,2
cluster_1222,microwave,2
cluster_1223,superlattice,1
cluster_1224,oxidation,1
cluster_1225,differential,2
cluster_1226,cell,2
cluster_1227,bowing,2
cluster_1228,background,2
cluster_1229,mode,2
cluster_123,output,18
cluster_1230,effective,1
cluster_1231,ion,2
cluster_1232,noise,2
cluster_1233,rate,2
cluster_1234,effective,2
cluster_1235,rate,1
cluster_1236,xrd,2
cluster_1237,fwhm,2
cluster_1238,ohmic,2
cluster_1239,current,2
cluster_124,shape,12
cluster_1240,slope,1
cluster_1241,interfacial,2
cluster_1242,characteristic,2
cluster_1243,photocatalytic,2
cluster_1244,third,2
cluster_1245,cluster,1
cluster_1246,attenuation,2
cluster_1247,threshold,2
cluster_1248,plane,2
cluster_1249,heterostructure,2
cluster_125,bond,8
cluster_1250,states,2
cluster_1251,particles,2
cluster_1252,nuclear,1
cluster_1253,adsorption,1
cluster_1254,switching,2
cluster_1255,molecular,2
cluster_1256,wettability,1
cluster_1257,forward,2
cluster_1258,resistance,2
cluster_1259,average,1
cluster_126,photovoltaic,9
cluster_1260,mott,2
cluster_1261,iuv,1
cluster_1262,power,2
cluster_1263,configuration,2
cluster_1264,phosphorus,2
cluster_1265,nonsaturable,1
cluster_1266,top,2
cluster_1267,tolerance,2
cluster_1268,stretching,2
cluster_1269,fracture,1
cluster_127,current,17
cluster_1270,static,1
cluster_1271,current,2
cluster_1272,arsenic,2
cluster_1273,shear,2
cluster_1274,smoothness,2
cluster_1275,device,2
cluster_1276,spin,2
cluster_1277,mass,2
cluster_1278,kinetic,1
cluster_1279,complex,2
cluster_128,composition,18
cluster_1280,bias,2
cluster_1281,content,1
cluster_1282,contact,2
cluster_1283,epitaxial,2
cluster_1284,gate,2
cluster_1285,ohmic,1
cluster_1286,negative,1
cluster_1287,content,1
cluster_1288,response,2
cluster_1289,hole,2
cluster_129,etch,18
cluster_1290,sheet,2
cluster_1291,presence,2
cluster_1292,parity,1
cluster_1293,dbr,2
cluster_1294,numerical,2
cluster_1295,nanowires,2
cluster_1296,coherence,2
cluster_1297,self,1
cluster_1298,nonlinearity,2
cluster_1299,frequency,2
cluster_13,peak,44
cluster_130,peak,16
cluster_1300,micrograph,2
cluster_1301,dynamic,2
cluster_1302,warp,1
cluster_1303,xps,1
cluster_1304,quality,2
cluster_1305,coupling,2
cluster_1306,zeeman,2
cluster_1307,ibe,1
cluster_1308,time,2
cluster_1309,exchange,2
cluster_131,structure,11
cluster_1310,cbm,2
cluster_1311,twin,2
cluster_1312,role,2
cluster_1313,noise,2
cluster_1314,time,2
cluster_1315,stripe,1
cluster_1316,resolution,2
cluster_1317,stretching,1
cluster_1318,fill,1
cluster_1319,velocity,2
cluster_132,width,16
cluster_1320,polarization,1
cluster_1321,etch,2
cluster_1322,intracellular,1
cluster_1323,volume,2
cluster_1324,presence,1
cluster_1325,top,1
cluster_1326,quantum,2
cluster_1327,cross,1
cluster_1328,border,1
cluster_1329,readback,1
cluster_133,uniformity,17
cluster_1330,configuration,2
cluster_1331,dark,2
cluster_1332,presence,2
cluster_1333,deformation,2
cluster_1334,areal,1
cluster_1335,molecular,1
cluster_1336,homo,2
cluster_1337,grading,2
cluster_1338,defect,1
cluster_1339,group,2
cluster_134,cell,15
cluster_1340,content,1
cluster_1341,hopping,2
cluster_1342,feature,2
cluster_1343,dos,2
cluster_1344,topology,2
cluster_1345,angle,2
cluster_1346,integration,1
cluster_1347,triplet,2
cluster_1348,degree,1
cluster_1349,collector,2
cluster_135,anisotropy,17
cluster_1350,channel,1
cluster_1351,content,1
cluster_1352,vertical,2
cluster_1353,mass,2
cluster_1354,bonding,1
cluster_1355,gain,2
cluster_1356,fano,1
cluster_1357,depletion,2
cluster_1358,mesa,2
cluster_1359,anchoring,1
cluster_136,growth,16
cluster_1360,deviation,2
cluster_1361,inversion,2
cluster_1362,misorientations,1
cluster_1363,area,2
cluster_1364,order,2
cluster_1365,charge,2
cluster_1366,contact,2
cluster_1367,input,2
cluster_1368,radius,2
cluster_1369,oxygen,1
cluster_137,chemical,13
cluster_1370,performance,2
cluster_1371,radius,1
cluster_1372,factor,2
cluster_1373,beam,1
cluster_1374,pitch,1
cluster_1375,angle,2
cluster_1376,groove,2
cluster_1377,load,2
cluster_1378,additives,1
cluster_1379,magnetic,1
cluster_138,stability,15
cluster_1380,ratio,2
cluster_1381,rotation,1
cluster_1382,dissipation,2
cluster_1383,deg,1
cluster_1384,chlorine,2
cluster_1385,correlations,1
cluster_1386,axis,2
cluster_1387,mode,2
cluster_1388,pattern,2
cluster_1389,fwhm,1
cluster_139,hall,17
cluster_1390,input,2
cluster_1391,hardness,2
cluster_1392,polaron,1
cluster_1393,loss,2
cluster_1394,extinction,2
cluster_1395,response,1
cluster_1396,color,1
cluster_1397,curve,2
cluster_1398,edge,1
cluster_1399,expansion,2
cluster_14,thickness,104
cluster_140,energy,5
cluster_1400,array,1
cluster_1401,adsorption,2
cluster_1402,coherence,2
cluster_1403,stark,2
cluster_1404,geometric,1
cluster_1405,termination,2
cluster_1406,turn,2
cluster_1407,sidewall,2
cluster_1408,tensor,2
cluster_1409,reciprocal,2
cluster_141,index,10
cluster_1410,width,2
cluster_1411,ferromagnetic,1
cluster_1412,order,2
cluster_1413,clock,1
cluster_1414,ion,1
cluster_1415,stretching,2
cluster_1416,tip,2
cluster_1417,slope,2
cluster_1418,phase,1
cluster_1419,projected,1
cluster_142,concentration,3
cluster_1420,number,1
cluster_1421,detection,1
cluster_1422,trap,2
cluster_1423,product,1
cluster_1424,bulk,1
cluster_1425,experimental,2
cluster_1426,rate,2
cluster_1427,removal,2
cluster_1428,vitro,1
cluster_1429,sensitization,1
cluster_143,energy,12
cluster_1430,factor,2
cluster_1431,potential,2
cluster_1432,properties,2
cluster_1433,vis,1
cluster_1434,characteristics,1
cluster_1435,connectivity,1
cluster_1436,content,1
cluster_1437,softness,2
cluster_1438,hysteresis,2
cluster_1439,mean,2
cluster_144,resonance,10
cluster_1440,blocking,2
cluster_1441,coupling,2
cluster_1442,electrical,1
cluster_1443,time,2
cluster_1444,bleach,2
cluster_1445,pulse,2
cluster_1446,wear,2
cluster_1447,fringes,2
cluster_1448,metastability,1
cluster_1449,content,2
cluster_145,aln,9
cluster_1450,circuit,2
cluster_1451,propagation,2
cluster_1452,disorder,2
cluster_1453,number,1
cluster_1454,localization,2
cluster_1455,layout,1
cluster_1456,voltammetry,2
cluster_1457,presence,2
cluster_1458,rms,2
cluster_1459,retention,2
cluster_146,contact,14
cluster_1460,moment,2
cluster_1461,half,1
cluster_1462,voc,2
cluster_1463,reaction,1
cluster_1464,content,2
cluster_1465,carrier,1
cluster_1466,spin,2
cluster_1467,generation,2
cluster_1468,sputtering,1
cluster_1469,cross,2
cluster_147,etching,16
cluster_1470,shunt,2
cluster_1471,curve,2
cluster_1472,arrhenius,2
cluster_1473,positron,2
cluster_1474,real,1
cluster_1475,rectification,2
cluster_1476,network,2
cluster_1477,count,2
cluster_1478,water,2
cluster_1479,amorphicity,1
cluster_148,presence,5
cluster_1480,presence,1
cluster_1481,pixel,2
cluster_1482,field,2
cluster_1483,presence,2
cluster_1484,entanglement,2
cluster_1485,photon,2
cluster_1486,sulfurization,1
cluster_1487,type,1
cluster_1488,self,2
cluster_1489,jsc,1
cluster_149,ratio,7
cluster_1490,array,1
cluster_1491,localization,2
cluster_1492,quality,2
cluster_1493,impedance,2
cluster_1494,nitrogen,1
cluster_1495,linear,2
cluster_1496,dihedral,2
cluster_1497,field,2
cluster_1498,median,2
cluster_1499,number,1
cluster_15,electron,103
cluster_150,resistance,14
cluster_1500,pyroelectric,1
cluster_1501,readout,2
cluster_1502,scan,2
cluster_1503,integration,2
cluster_1504,failure,2
cluster_1505,superconducting,1
cluster_1506,migration,2
cluster_1507,repeatability,1
cluster_1508,glucose,2
cluster_1509,gain,2
cluster_151,coupling,16
cluster_1510,constant,2
cluster_1511,exponent,2
cluster_1512,rate,1
cluster_1513,position,1
cluster_1514,sequence,2
cluster_1515,storage,2
cluster_1516,graphitic,1
cluster_1517,response,2
cluster_1518,functional,1
cluster_1519,tdd,1
cluster_152,presence,4
cluster_1520,wavefunctions,1
cluster_1521,number,1
cluster_1522,vbm,2
cluster_1523,setting,1
cluster_1524,coordination,2
cluster_1525,ligand,2
cluster_1526,sample,1
cluster_1527,coercivity,1
cluster_1528,displacement,2
cluster_1529,interference,2
cluster_153,dislocations,7
cluster_1530,factor,2
cluster_1531,frame,1
cluster_1532,effect,2
cluster_1533,modulus,2
cluster_1534,sem,1
cluster_1535,turn,1
cluster_1536,humidity,1
cluster_1537,molecular,1
cluster_1538,solubility,2
cluster_1539,buckling,1
cluster_154,length,16
cluster_1540,permeability,1
cluster_1541,isolation,1
cluster_1542,jsc,1
cluster_1543,modulus,2
cluster_1544,hahn,1
cluster_1545,stacking,2
cluster_1546,dynamic,2
cluster_1547,field,2
cluster_1548,wind,1
cluster_1549,hexagonal,1
cluster_155,breakdown,15
cluster_1550,eye,1
cluster_1551,isolation,1
cluster_1552,binding,2
cluster_1553,production,1
cluster_1554,step,2
cluster_1555,number,2
cluster_1556,jsc,2
cluster_1557,fabrication,1
cluster_1558,time,2
cluster_1559,sample,2
cluster_156,optical,9
cluster_1560,electronic,1
cluster_1561,amount,2
cluster_1562,rabi,1
cluster_1563,reactor,2
cluster_1564,process,1
cluster_1565,value,1
cluster_1566,nitridation,2
cluster_1567,fluorine,2
cluster_1568,tem,2
cluster_1569,back,1
cluster_157,energy,6
cluster_1570,implant,2
cluster_1571,observation,1
cluster_1572,divergence,2
cluster_1573,tauc,1
cluster_1574,spatial,1
cluster_1575,gallium,1
cluster_1576,localization,2
cluster_1577,not,2
cluster_1578,value,2
cluster_1579,identical,1
cluster_158,efficiency,6
cluster_1580,autocorrelation,2
cluster_1581,ratio,1
cluster_1582,number,2
cluster_1583,voc,1
cluster_1584,texture,2
cluster_1585,relationship,2
cluster_1586,simulation,2
cluster_1587,modulus,2
cluster_1588,signal,2
cluster_1589,mott,2
cluster_159,confinement,12
cluster_1590,degree,1
cluster_1591,cte,1
cluster_1592,amount,1
cluster_1593,radical,2
cluster_1594,experimental,2
cluster_1595,uptake,2
cluster_1596,semiconducting,2
cluster_1597,components,1
cluster_1598,fowler,2
cluster_1599,ratio,2
cluster_16,energy,99
cluster_160,contact,14
cluster_1600,constant,2
cluster_1601,distortion,2
cluster_1602,varshni,2
cluster_1603,population,2
cluster_1604,factor,2
cluster_1605,index,2
cluster_1606,vacancies,1
cluster_1607,period,2
cluster_1608,ros,2
cluster_1609,seebeck,2
cluster_161,thermal,12
cluster_1610,probability,2
cluster_1611,photoanode,1
cluster_1612,number,2
cluster_1613,cie,2
cluster_1614,catalyst,1
cluster_1615,presence,1
cluster_1616,knoop,1
cluster_1617,presence,2
cluster_1618,peroxidase,1
cluster_1619,field,2
cluster_162,width,15
cluster_1620,micropipes,1
cluster_1621,tolerance,2
cluster_1622,hydrophilicity,1
cluster_1623,electrophilicity,1
cluster_1624,tga,2
cluster_1625,bowing,1
cluster_1626,windowing,1
cluster_1627,blinking,1
cluster_1628,limit,1
cluster_1629,average,1
cluster_163,qds,4
cluster_1630,activity,2
cluster_1631,netd,2
cluster_1632,shubnikov,2
cluster_1633,primary,1
cluster_1634,product,2
cluster_1635,presence,2
cluster_1636,friction,2
cluster_1637,cytotoxicity,1
cluster_1638,specificity,2
cluster_1639,pbi,2
cluster_164,current,11
cluster_1640,mesostructure,1
cluster_1641,used,2
cluster_1642,michaelis,2
cluster_1643,bistability,1
cluster_1644,point,2
cluster_1645,rsh,1
cluster_1646,activity,2
cluster_1647,hybridization,2
cluster_1648,delamination,2
cluster_1649,rta,1
cluster_165,orientation,10
cluster_1650,biofilm,2
cluster_166,stress,14
cluster_167,angle,14
cluster_168,reflectivity,10
cluster_169,bandgap,6
cluster_17,peak,78
cluster_170,layer,12
cluster_171,ratio,13
cluster_172,transmission,11
cluster_173,gain,14
cluster_174,width,13
cluster_175,height,13
cluster_176,elemental,7
cluster_177,modulation,13
cluster_178,pore,9
cluster_179,defects,7
cluster_18,growth,89
cluster_180,electron,9
cluster_181,sic,14
cluster_182,cavity,13
cluster_183,capacitance,14
cluster_184,pattern,12
cluster_185,interaction,9
cluster_186,mole,14
cluster_187,presence,13
cluster_188,cell,11
cluster_189,incorporation,14
cluster_19,temperature,82
cluster_190,leakage,14
cluster_191,not,15
cluster_192,fwhm,11
cluster_193,photoresponse,5
cluster_194,energy,7
cluster_195,electron,10
cluster_196,reflectivity,8
cluster_197,field,12
cluster_198,loss,12
cluster_199,hysteresis,13
cluster_2,photocurrent,107
cluster_20,concentration,60
cluster_200,electrical,3
cluster_201,material,8
cluster_202,valence,13
cluster_203,electrode,11
cluster_204,mode,9
cluster_205,oxidation,13
cluster_206,facets,7
cluster_207,peak,10
cluster_208,width,7
cluster_209,photoconductivity,3
cluster_21,spectrum,40
cluster_210,photoresponse,7
cluster_211,peak,10
cluster_212,band,12
cluster_213,power,12
cluster_214,epitaxial,10
cluster_215,channel,10
cluster_216,plasma,11
cluster_217,conductivity,3
cluster_218,temperature,9
cluster_219,cross,12
cluster_22,energy,63
cluster_220,height,12
cluster_221,concentration,3
cluster_222,hole,7
cluster_223,gan,12
cluster_224,voltage,9
cluster_225,gate,12
cluster_226,junction,10
cluster_227,tunneling,9
cluster_228,angle,10
cluster_229,dopant,12
cluster_23,defect,51
cluster_230,transmittance,3
cluster_231,peaks,9
cluster_232,photoluminescence,8
cluster_233,peak,9
cluster_234,peak,8
cluster_235,transmittance,7
cluster_236,interlayer,5
cluster_237,response,10
cluster_238,quantum,10
cluster_239,amplitude,9
cluster_24,gap,74
cluster_240,current,8
cluster_241,coating,9
cluster_242,critical,9
cluster_243,current,11
cluster_244,length,10
cluster_245,polarization,10
cluster_246,cross,11
cluster_247,electrical,4
cluster_248,density,10
cluster_249,thermal,5
cluster_25,carrier,69
cluster_250,nucleation,11
cluster_251,lifetime,7
cluster_252,lattice,10
cluster_253,bonding,7
cluster_254,length,9
cluster_255,grating,11
cluster_256,charge,10
cluster_257,voltage,11
cluster_258,magnetization,5
cluster_259,wavelength,9
cluster_26,exciton,32
cluster_260,depth,10
cluster_261,photovoltaic,4
cluster_262,morphology,3
cluster_263,maximum,9
cluster_264,residual,10
cluster_265,width,9
cluster_266,relaxation,10
cluster_267,efficiency,4
cluster_268,hydrogen,10
cluster_269,lateral,10
cluster_27,ratio,51
cluster_270,concentration,3
cluster_271,stacking,7
cluster_272,diffraction,7
cluster_273,structure,9
cluster_274,waveguide,9
cluster_275,voltage,10
cluster_276,gan,10
cluster_277,presence,2
cluster_278,oxygen,10
cluster_279,elastic,9
cluster_28,current,51
cluster_280,magnetic,7
cluster_281,stacking,11
cluster_282,optical,6
cluster_283,energy,7
cluster_284,light,2
cluster_285,threshold,4
cluster_286,defect,8
cluster_287,ratio,9
cluster_288,frequency,9
cluster_289,efficiency,9
cluster_29,emission,40
cluster_290,response,8
cluster_291,bandgap,8
cluster_292,factor,9
cluster_293,morphology,6
cluster_294,power,8
cluster_295,resolution,9
cluster_296,trap,8
cluster_297,potential,9
cluster_298,oxygen,5
cluster_299,performance,5
cluster_3,surface,130
cluster_30,resistance,40
cluster_300,relaxation,9
cluster_301,diffusion,9
cluster_302,device,7
cluster_303,detectivity,5
cluster_304,diffusion,9
cluster_305,field,9
cluster_306,loss,8
cluster_307,gas,7
cluster_308,annealing,9
cluster_309,schematic,9
cluster_31,composition,52
cluster_310,bias,8
cluster_311,bias,9
cluster_312,flow,8
cluster_313,absorption,6
cluster_314,visible,4
cluster_315,exciton,6
cluster_316,transition,6
cluster_317,band,9
cluster_318,surface,8
cluster_319,peak,8
cluster_32,phase,52
cluster_320,crystal,6
cluster_321,fwhm,7
cluster_322,fwhm,8
cluster_323,threshold,8
cluster_324,fluorescence,7
cluster_325,coefficient,7
cluster_326,profile,8
cluster_327,core,8
cluster_328,average,8
cluster_329,time,8
cluster_33,lattice,48
cluster_330,lifetime,6
cluster_331,threshold,8
cluster_332,sensitivity,8
cluster_333,average,6
cluster_334,surface,4
cluster_335,quality,8
cluster_336,amorphous,8
cluster_337,voltage,8
cluster_338,electron,7
cluster_339,mode,4
cluster_34,layer,28
cluster_340,carrier,7
cluster_341,depth,8
cluster_342,responsivity,8
cluster_343,wafer,8
cluster_344,uniformity,7
cluster_345,current,7
cluster_346,radiation,3
cluster_347,interface,8
cluster_348,phase,7
cluster_349,lattice,8
cluster_35,charge,51
cluster_350,grain,7
cluster_351,composition,4
cluster_352,stability,8
cluster_353,far,8
cluster_354,molar,7
cluster_355,current,5
cluster_356,donor,8
cluster_357,pattern,6
cluster_358,bond,7
cluster_359,angle,5
cluster_36,decay,44
cluster_360,voltage,8
cluster_361,carbon,8
cluster_362,damping,7
cluster_363,voltage,8
cluster_364,piezoelectric,5
cluster_365,parameter,8
cluster_366,absorption,3
cluster_367,frequency,6
cluster_368,energy,7
cluster_369,maximum,7
cluster_37,phonon,52
cluster_370,peak,4
cluster_371,bandgap,7
cluster_372,degradation,7
cluster_373,reflection,6
cluster_374,quenching,7
cluster_375,eqe,6
cluster_376,cross,7
cluster_377,band,4
cluster_378,decay,4
cluster_379,responsivity,7
cluster_38,efficiency,45
cluster_380,oxygen,7
cluster_381,normalized,7
cluster_382,average,2
cluster_383,conductance,4
cluster_384,shape,6
cluster_385,output,7
cluster_386,quality,7
cluster_387,density,6
cluster_388,temperature,4
cluster_389,shift,6
cluster_39,diameter,49
cluster_390,qds,2
cluster_391,algan,5
cluster_392,coefficient,6
cluster_393,alignment,3
cluster_394,cds,5
cluster_395,capacitance,3
cluster_396,separation,7
cluster_397,splitting,7
cluster_398,distribution,7
cluster_399,volume,5
cluster_4,absorption,129
cluster_40,spectral,18
cluster_400,fall,7
cluster_401,interface,6
cluster_402,impurities,1
cluster_403,dispersion,6
cluster_404,valence,7
cluster_405,velocity,6
cluster_406,potential,7
cluster_407,crack,3
cluster_408,content,1
cluster_409,metallicity,2
cluster_41,energy,40
cluster_410,sem,7
cluster_411,molecular,2
cluster_412,signal,7
cluster_413,pce,7
cluster_414,stability,5
cluster_415,adsorption,6
cluster_416,fill,7
cluster_417,pixel,5
cluster_418,factor,7
cluster_419,array,7
cluster_42,surface,32
cluster_420,capacity,4
cluster_421,intensity,3
cluster_422,peak,6
cluster_423,range,4
cluster_424,color,4
cluster_425,fwhm,6
cluster_426,edge,3
cluster_427,sensitivity,6
cluster_428,band,4
cluster_429,rate,5
cluster_43,strain,44
cluster_430,lasing,5
cluster_431,response,6
cluster_432,photocatalytic,3
cluster_433,structure,2
cluster_434,mqw,5
cluster_435,background,6
cluster_436,oscillation,3
cluster_437,deep,6
cluster_438,damage,5
cluster_439,sensitivity,6
cluster_44,band,40
cluster_440,recovery,4
cluster_441,refractive,3
cluster_442,shell,5
cluster_443,transmission,6
cluster_444,film,6
cluster_445,ray,6
cluster_446,efficiency,2
cluster_447,lattice,5
cluster_448,coverage,5
cluster_449,composition,6
cluster_45,barrier,36
cluster_450,distribution,6
cluster_451,beam,6
cluster_452,width,5
cluster_453,deformation,4
cluster_454,quality,6
cluster_455,binding,5
cluster_456,dye,6
cluster_457,electron,3
cluster_458,scattering,6
cluster_459,fwhm,6
cluster_46,raman,47
cluster_460,switching,5
cluster_461,pulse,3
cluster_462,radius,6
cluster_463,detector,6
cluster_464,index,6
cluster_465,quantum,6
cluster_466,charge,5
cluster_467,content,2
cluster_468,ratio,3
cluster_469,fraction,6
cluster_47,spectrum,20
cluster_470,yield,6
cluster_471,work,6
cluster_472,short,6
cluster_473,operating,4
cluster_474,transconductance,6
cluster_475,magnetic,3
cluster_476,gate,6
cluster_477,detection,4
cluster_478,characteristics,2
cluster_479,pressure,6
cluster_48,recombination,45
cluster_480,product,4
cluster_481,band,4
cluster_482,exciton,3
cluster_483,threshold,5
cluster_484,presence,2
cluster_485,peak,5
cluster_486,transparency,3
cluster_487,efficiency,5
cluster_488,factor,5
cluster_489,buffer,5
cluster_49,conductivity,36
cluster_490,short,5
cluster_491,active,5
cluster_492,edge,5
cluster_493,position,5
cluster_494,distribution,4
cluster_495,surface,4
cluster_496,lifetime,5
cluster_497,crystallinity,5
cluster_498,mean,5
cluster_499,output,3
cluster_5,intensity,59
cluster_50,atomic,32
cluster_500,formation,3
cluster_501,lumo,5
cluster_502,homogeneity,5
cluster_503,bond,2
cluster_504,ipce,5
cluster_505,oscillator,1
cluster_506,ratio,5
cluster_507,density,4
cluster_508,activation,5
cluster_509,quantum,5
cluster_51,efficiency,43
cluster_510,space,5
cluster_511,size,5
cluster_512,shift,5
cluster_513,base,5
cluster_514,vibrational,2
cluster_515,geometry,3
cluster_516,tio,5
cluster_517,reaction,4
cluster_518,density,5
cluster_519,width,5
cluster_52,luminescence,29
cluster_520,ground,5
cluster_521,broadening,5
cluster_522,roughness,5
cluster_523,ordering,5
cluster_524,symmetry,5
cluster_525,bond,2
cluster_526,formation,5
cluster_527,xps,5
cluster_528,rocking,5
cluster_529,current,3
cluster_53,temperature,34
cluster_530,molecular,5
cluster_531,average,4
cluster_532,loss,5
cluster_533,imaging,1
cluster_534,mobility,5
cluster_535,function,4
cluster_536,junction,3
cluster_537,contrast,4
cluster_538,period,4
cluster_539,mode,3
cluster_54,optical,20
cluster_540,distribution,5
cluster_541,fermi,5
cluster_542,fwhm,4
cluster_543,compensation,4
cluster_544,dark,4
cluster_545,dimensions,5
cluster_546,oxidation,4
cluster_547,diode,5
cluster_548,length,5
cluster_549,size,3
