cluster_id,representative_property
cluster_1071,Energy Payback Time
cluster_1072,Direct-to-Indirect Transition
cluster_1073,O Content
cluster_1074,Oxidation Peaks
cluster_1075,Ag Nanoparticle Size
cluster_1076,Paramagnetic Defect Density
cluster_1077,Ion fluence
cluster_1078,Longitudinal Cavity Mode Spacing
cluster_1079,Local Field Enhancement
cluster_108,Contact type with ZnO NRs
cluster_1080,LUMO Level
cluster_1081,Interband dephasing time
cluster_1082,"Valence Band Offset (VBO, ΔEv)"
cluster_1083,Surface Oxide Desorption Temperature
cluster_1084,Dark-Dark (DD) Excitonic Splitting
cluster_1085,Dominant Species
cluster_1086,PEC Signal
cluster_1087,Recombination Current Pre-factor
cluster_1088,Integration modes
cluster_1089,Burstein–Moss Shift
cluster_109,Axial orientation
cluster_1090,Characteristic Temperature (T0) of Threshold Current
cluster_1091,Pulsed operation maximum temperature
cluster_1092,AFM Topography
cluster_1093,Maximum Drain-Source Voltage
cluster_1094,Asymmetry
cluster_1095,Block Diagram
cluster_1096,Back Interface Recombination Velocity
cluster_1097,Humidity Effect
cluster_1098,Maximum Open Circuit Voltage
cluster_1099,Error-Free Transmission Capability
cluster_11,Al2O3 crystallinity
cluster_110,(002) peak FWHM
cluster_1100,Charge Carrier Mobility (Hole)
cluster_1101,In-plane misfit strain
cluster_1102,Averaged Basal Diameter
cluster_1103,Plasmon damping constant
cluster_1104,Deep Trap B Concentration
cluster_1105,Blend Film Phase Separation
cluster_1106,Fabry–Perot Cavity Response
cluster_1107,Acceptor Impurity Concentration
cluster_1108,Multilayer Periodicity
cluster_1109,Scattering
cluster_111,Base Resistivity
cluster_1110,Magnetoresistance Ratio
cluster_1111,Coalescence Process
cluster_1112,Sheet Resistance under Illumination
cluster_1113,Etch rate with GaAs
cluster_1114,Crack density
cluster_1115,Heterointerface Sharpness
cluster_1116,Maximum Operating Speed
cluster_1117,Moisture Resistivity
cluster_1118,Epitaxial nature and orientation
cluster_1119,Passivation
cluster_112,Apparent Flat Band Potential
cluster_1120,Activity
cluster_1121,Pressure-induced phase transition
cluster_1122,Microscopic Image
cluster_1123,External Responsivity
cluster_1124,Ion Implantation Energy
cluster_1125,Growth Temperature (GaN)
cluster_1126,Electron and Hole Ground State WF Spatial Overlap
cluster_1127,Bond type
cluster_1128,Number of Subbands
cluster_1129,Uncompensated Acceptor Concentration
cluster_113,Amount of Material
cluster_1130,O2 Flow Rate
cluster_1131,DC Characteristics
cluster_1132,Single-Mode Tuning Range
cluster_1133,LUMO Density Distribution
cluster_1134,Capacitance vs. Reverse Bias Voltage
cluster_1135,Drain-Source On-Resistance
cluster_1136,Etch Profile Morphology
cluster_1137,Etch per Cycle
cluster_1138,Cooling System
cluster_1139,Hole Mobility - Lifetime Product
cluster_114,1/f Noise Measurements
cluster_1140,Conversion Rate
cluster_1141,Dark Count Probability
cluster_1142,Lithographic Dimensions
cluster_1143,Carrier Capture Time
cluster_1144,Average Step Width
cluster_1145,Saturated Drain Current (IDS)
cluster_1146,Fabry-Perot oscillations
cluster_1147,Dot Size Distribution
cluster_1148,Crater Depth
cluster_1149,Blue-Shift
cluster_115,DCXRD rocking curve FWHM
cluster_1150,Electrochemical Signal
cluster_1151,Crack formation
cluster_1152,Bulk properties
cluster_1153,XRD Asymmetrical FWHM
cluster_1154,Cu/III Ratio
cluster_1155,Average Si NC size
cluster_1156,Quantum Hall Plateaus
cluster_1157,Residual Non-Uniformity
cluster_1158,Pixel Active Area
cluster_1159,Chlorine Incorporation
cluster_116,ALP Activity
cluster_1160,C-O Stretching Frequency
cluster_1161,Mosaic structure
cluster_1162,Fiber coupling loss
cluster_1163,Physical Layout
cluster_1164,Maximum PV Temperature
cluster_1165,Magnetic ordering
cluster_1166,Interplanar Spacing (d-value) for (111) plane
cluster_1167,Chemical Hardness
cluster_1168,Polaron Yield
cluster_1169,Steady-State PCE
cluster_117,Change in Drain-Source Current
cluster_1170,In Incorporation Dependence
cluster_1171,CNT growth mode
cluster_1172,Al-N bond length
cluster_1173,Brittleness
cluster_1174,Presence of Ti–O bonds
cluster_1175,Dislocation Etch Pit Density
cluster_1176,Hot-carrier Cooling Dynamics
cluster_1177,Electrocatalytic activity
cluster_1178,Absorptance
cluster_1179,Grain Boundary Visibility
cluster_118,Background impurity concentration
cluster_1180,Nitridation Efficiency
cluster_1181,Adiabatic Ionization Potential
cluster_1182,Characteristic temperature for Efros–Shklovskii VRH
cluster_1183,General properties
cluster_1184,Initial State
cluster_1185,Coalescence
cluster_1186,Deep Trap Capture Cross Section
cluster_1187,Haze in Transmission
cluster_1188,Contribution
cluster_1189,Domain purity
cluster_119,2-DEG Density
cluster_1190,Compositional Inhomogeneity
cluster_1191,Latent heat
cluster_1192,Reduced Effective Mass (m*)
cluster_1193,Built-in Electric Field Direction
cluster_1194,Circuit Size
cluster_1195,Interdot coupling strength (electron wavefunction)
cluster_1196,Position within QD
cluster_1197,Characteristic time constant
cluster_1198,Mechanical Quality Factor
cluster_1199,Lateral Composition Modulation
cluster_12,ALD Al2O3 thickness
cluster_120,EDX spectrum
cluster_1200,Radiative Open Circuit Voltage
cluster_1201,Effective work function
cluster_1202,Calibration
cluster_1203,Dephasing rate
cluster_1204,HOMO energy level (EHOMO)
cluster_1205,Average Perpendicular Lattice Parameter
cluster_1206,Effective Mode Volume
cluster_1207,Generation rate
cluster_1208,Control Interface
cluster_1209,Kinetic Rate Constant
cluster_121,(101) Diffraction peak shift
cluster_1210,Local Vibrational Mode (LVM)
cluster_1211,Average Length of Flakes
cluster_1212,Interfacial mixing
cluster_1213,Stability and Repeatability
cluster_1214,Measurement Method
cluster_1215,Film Continuity
cluster_1216,Transfer Function
cluster_1217,Operating Mode
cluster_1218,Chemical Sensing
cluster_1219,Bond angle distribution width
cluster_122,Cap layer
cluster_1220,Concentration of Uncompensated Donors
cluster_1221,Precursor Flow Rates
cluster_1222,Microwave Shielding Efficiency
cluster_1223,Superconducting Transition Width
cluster_1224,Oxidation State of Mo
cluster_1225,Differential Resistance of the Space-Charge Region (RSCR)
cluster_1226,PV Cell Temperature
cluster_1227,Bowing Curvature
cluster_1228,Background Rate
cluster_1229,Failure mode
cluster_123,Average output power
cluster_1230,Effective Isotropic Radiated Power
cluster_1231,Ion Implantation
cluster_1232,Low-Frequency Voltage Noise Power Spectral Density
cluster_1233,Ramping Rate
cluster_1234,Effective mass parameters
cluster_1235,Free Carrier Plasma Frequency
cluster_1236,X-ray Diffraction (XRD) Asymmetric Reflection ((102) FWHM)
cluster_1237,DCXRD FWHM
cluster_1238,Ohmic contact
cluster_1239,Josephson current
cluster_124,C–V Curve Shape
cluster_1240,Differential Etch Rate
cluster_1241,Interfacial Dipole
cluster_1242,C-V Characteristic Shape
cluster_1243,Photocatalytic Degradation of Phenol
cluster_1244,Real part of third-order nonlinear susceptibility for Quadratic Electro-Optic Effect
cluster_1245,CdO phase
cluster_1246,Attenuation
cluster_1247,CW Threshold Current
cluster_1248,In-Plane Stiffness
cluster_1249,Heterostructure Type
cluster_125,Average Si Nanocrystal Size
cluster_1250,Localization of States
cluster_1251,Number of particles
cluster_1252,Nuclear Spin Polarization Degree
cluster_1253,Adsorption
cluster_1254,Bipolar Resistive Switching
cluster_1255,Frontier Molecular Orbital (FMO) energy levels
cluster_1256,Hydrophobicity
cluster_1257,Forward-Bias Voltage
cluster_1258,Differential Resistance at Zero Bias
cluster_1259,Average Localization Energy
cluster_126,Anomalous Photovoltaic Effect
cluster_1260,Mott's Parameter
cluster_1261,IUV/Idark Ratio
cluster_1262,CW Power
cluster_1263,Configuration
cluster_1264,Phosphorus Oxidation State
cluster_1265,Internal Loss Coefficient
cluster_1266,Schematic Top View
cluster_1267,Tolerance Factor
cluster_1268,C-H Stretching Vibration
cluster_1269,Cracking
cluster_127,Corrosion Current Density
cluster_1270,Single Transverse Mode Operation
cluster_1271,Current Tuning Rate
cluster_1272,Arsenic Incorporation
cluster_1273,Reduction of shear deformation potential
cluster_1274,Sidewall Smoothness
cluster_1275,Device layout
cluster_1276,Rashba Spin-Orbit Coupling Parameter
cluster_1277,Mass Loading
cluster_1278,Kinetic Parameter
cluster_1279,Complex Permittivity
cluster_128,Al composition (Average)
cluster_1280,Bias voltage
cluster_1281,Te Content
cluster_1282,Contact Configuration
cluster_1283,Epitaxial Relationship to Al2O3
cluster_1284,Gate Bias
cluster_1285,Ohmic Behaviour
cluster_1286,Negative magnetoresistance
cluster_1287,Mn Content
cluster_1288,Amperometric response
cluster_1289,Field-Effect Transistor Hole Mobility
cluster_129,Dry Etch Rate
cluster_1290,Long-term Stability (Sheet Resistance)
cluster_1291,Presence of InN phase
cluster_1292,PL blinking behavior
cluster_1293,DBR Periods
cluster_1294,Numerical Aperture
cluster_1295,Morphology of nanowires
cluster_1296,Coherence
cluster_1297,Average charging power
cluster_1298,Kerr Nonlinearity Coefficient
cluster_1299,-3-dB Frequency
cluster_13,2DEG-related PL Peak Position
cluster_130,2θ Peak Position
cluster_1300,Device micrograph
cluster_1301,Dynamic Behavior
cluster_1302,Microstrain (ε)
cluster_1303,XPS Zn 2p3/2
cluster_1304,Fill Quality
cluster_1305,Electromechanical coupling coefficient
cluster_1306,Zeeman Splitting
cluster_1307,IBE/IBB ratio
cluster_1308,Decoherence Time
cluster_1309,Exchange Constant
cluster_131,Back Contact Structure
cluster_1310,CBM position
cluster_1311,Presence of Twin Faults / Stacking Disorder
cluster_1312,Role
cluster_1313,SNR (Signal-to-Noise Ratio)
cluster_1314,Off-time Distribution Exponent
cluster_1315,Number of Stripes
cluster_1316,Alpha Energy Resolution
cluster_1317,C-axis Alignment
cluster_1318,Fill factor
cluster_1319,Drift velocity evolution
cluster_132,Attenuation Length
cluster_1320,Faraday Rotation Angle
cluster_1321,Etch Pit Size
cluster_1322,Cell Proliferation
cluster_1323,Fiber Volume Fraction
cluster_1324,Presence of Surface Hydroxyl Groups
cluster_1325,Nanodot Array Geometry
cluster_1326,Number of Quantum Well Pairs
cluster_1327,Cross-sectional morphology of MQWs
cluster_1328,Border traps
cluster_1329,Modulation Transfer Function (MTF)
cluster_133,Composition Uniformity
cluster_1330,Setup configuration
cluster_1331,Dark J-V Curve
cluster_1332,Presence in copolymer
cluster_1333,Acoustic deformation potential
cluster_1334,Area Covered
cluster_1335,Electrolyte
cluster_1336,Contribution to HOMO
cluster_1337,Back grading parameter
cluster_1338,Defect N2 - True Capture Cross-section
cluster_1339,Group Velocity Dispersion
cluster_134,Active Cell Area
cluster_1340,Ga 3d Core Level
cluster_1341,Hopping Integral
cluster_1342,Design feature
cluster_1343,Contribution to DOS
cluster_1344,Circuit Topology
cluster_1345,Divergence Angle
cluster_1346,Integration
cluster_1347,Singlet-Triplet Splitting
cluster_1348,Degree of Alignment
cluster_1349,Base-Collector Breakdown Voltage
cluster_135,Anisotropy
cluster_1350,Channel Isolation
cluster_1351,Sb Content
cluster_1352,Vertical correlation
cluster_1353,Effective mass tensor components
cluster_1354,Presence of Ti3+
cluster_1355,Gain compression factor
cluster_1356,Cavity-QD Detuning
cluster_1357,Depletion Layer
cluster_1358,Mesa Sidewall
cluster_1359,Anchoring Energy Coefficient - Dispersion
cluster_136,Chamber Pressure during Growth
cluster_1360,Relative Standard Deviation (RSD)
cluster_1361,Inversion Domain Density
cluster_1362,Heterointerface abruptness
cluster_1363,Effective Dynamic Impedance-Area Product
cluster_1364,Order Parameter
cluster_1365,Bader Charge
cluster_1366,Contact
cluster_1367,Input Matching
cluster_1368,EIS Arc Radius
cluster_1369,Hydroxide content
cluster_137,Chemical Binding State
cluster_1370,OFET performance
cluster_1371,Average inter-particle distance
cluster_1372,Effective g-factor
cluster_1373,Beam steering
cluster_1374,Pitch size
cluster_1375,Acceptance Angle
cluster_1376,Groove Geometry
cluster_1377,Load Impedance
cluster_1378,Additives
cluster_1379,Magnetic Easy Axis
cluster_138,Air Stability
cluster_1380,On/Off Ratio (FETs)
cluster_1381,Rotation Speed
cluster_1382,Dissipation factor
cluster_1383,2DEG location
cluster_1384,Presence of Chlorine
cluster_1385,2-dimensional Spatial Correlation
cluster_1386,Minor Axis
cluster_1387,Mode-locking regions
cluster_1388,Interference pattern
cluster_1389,f-number
cluster_139,Electrical Hall Mobility
cluster_1390,Input Impedance
cluster_1391,Global Hardness
cluster_1392,Electrophilicity
cluster_1393,Insertion loss
cluster_1394,Average extinction coefficient k
cluster_1395,Forward voltage drop
cluster_1396,Color coordinates
cluster_1397,IV Curve Shape
cluster_1398,Edge-type TDD
cluster_1399,Expansion Velocity
cluster_14,Active region thickness
cluster_140,Absorbed photon-to-electron conversion efficiency
cluster_1400,QD Array Morphology
cluster_1401,Adsorption of RhB
cluster_1402,Coherence time
cluster_1403,Quantum-Confined Stark Effect
cluster_1404,Geometric parameters
cluster_1405,Step Termination Density
cluster_1406,Average Turn-on Electric Field
cluster_1407,Sidewall Profile
cluster_1408,Microdistortion tensor component
cluster_1409,Reciprocal Space Map
cluster_141,Effective index of refraction
cluster_1410,Gaussian Distribution Half Width
cluster_1411,Ferromagnetic moment
cluster_1412,Degree of Order
cluster_1413,Clock Rate
cluster_1414,Char Yield
cluster_1415,C–H asymmetric stretching mode
cluster_1416,Presence at tip
cluster_1417,Fowler-Nordheim (FN) Plot Slope
cluster_1418,In-plane B–N Stretching Vibration
cluster_1419,Macro-step height
cluster_142,Ga 3d Binding Energy
cluster_1420,Number of spins
cluster_1421,Detection of ALP
cluster_1422,Border Trap A
cluster_1423,R0A
cluster_1424,1H NMR chemical shifts
cluster_1425,"Experimental value of the anisotropy distance s, for BaTiO,"
cluster_1426,CH3OH Formation Rate
cluster_1427,Material Removal Rate
cluster_1428,In vitro CdSe-QD formation
cluster_1429,Quality Factor Reduction
cluster_143,Correlation energy
cluster_1430,k factor
cluster_1431,Potential application
cluster_1432,Inherited Properties
cluster_1433,UV-vis DRS
cluster_1434,L-I Characteristics
cluster_1435,Connectivity
cluster_1436,Presence of In2O3
cluster_1437,Global Softness
cluster_1438,Flatband Voltage Hysteresis
cluster_1439,Mean Absolute Error
cluster_144,13C NMR spectrum
cluster_1440,Blocking Effect
cluster_1441,Hyperfine Coupling Constant
cluster_1442,Activity Coefficient
cluster_1443,Delay time
cluster_1444,Bleach Kinetics
cluster_1445,Pulse Delay
cluster_1446,Flank Wear Rate
cluster_1447,Moiré Fringes
cluster_1448,Metastability
cluster_1449,NO content
cluster_145,Al/N Ratio
cluster_1450,Circuit Configuration
cluster_1451,Propagation delay
cluster_1452,Degree of Disorder
cluster_1453,Number of Monolayers per Period
cluster_1454,Localization
cluster_1455,Layout
cluster_1456,Cyclic Voltammetry Data
cluster_1457,Presence of Inversion Domains
cluster_1458,RMS Timing Jitter
cluster_1459,Capacity retention
cluster_146,Contact Electrical Resistivity
cluster_1460,Average dipolar moment
cluster_1461,Built-in Potential (Vbi)
cluster_1462,1-sun J–V Parameter VOC
cluster_1463,Polymerization Reactions
cluster_1464,TiN Content
cluster_1465,Carrier freeze-out
cluster_1466,Intermediate State 1 (LIS1) - Down-spin
cluster_1467,Generation
cluster_1468,Sputter Yield
cluster_1469,Cross Talk
cluster_147,Anisotropy of Etching
cluster_1470,Shunt Impedance
cluster_1471,Ids–Vg Curve
cluster_1472,Arrhenius Plot
cluster_1473,Positron Annihilation Parameter S
cluster_1474,Precision
cluster_1475,Rectification
cluster_1476,Output Matching Network
cluster_1477,Count Rate
cluster_1478,Water Permeability
cluster_1479,Amorphicity
cluster_148,Interface with Si
cluster_1480,Germanium content
cluster_1481,Pixel Array Size
cluster_1482,Coercive field
cluster_1483,Presence of Carbon sp2 Clusters
cluster_1484,Entanglement
cluster_1485,Second-Order Photon Autocorrelation Function g(2)(0)
cluster_1486,Density of sulfur vacancies
cluster_1487,Up-converted Signal Level
cluster_1488,Self-healing
cluster_1489,J0
cluster_149,Arsenic fraction
cluster_1490,Array Geometry
cluster_1491,Localization Effect Strength
cluster_1492,CdS/CIGS junction quality
cluster_1493,Impedance matching
cluster_1494,NH3 Flux (during low-NH3 stage)
cluster_1495,Linear Regression Equation
cluster_1496,Dihedral Angle (d) between adjacent thiophene rings
cluster_1497,Built-in Field
cluster_1498,Median NETD
cluster_1499,Fractal Dimension
cluster_15,0.45 eV Electron Trap Concentration
cluster_150,Dark Series Resistance
cluster_1500,Piezoresistive Gauge Factor
cluster_1501,Readout Scheme
cluster_1502,FWHM of ω-scan
cluster_1503,Integration Capability
cluster_1504,Failure Rate
cluster_1505,Superconducting
cluster_1506,Migration
cluster_1507,Durability
cluster_1508,Glucose Detection
cluster_1509,Power-Gain Cutoff Frequency (fmax)
cluster_151,CPW resonator coupling
cluster_1510,Lamé Constant
cluster_1511,Scaling exponent
cluster_1512,NH3 Flow
cluster_1513,Position Control
cluster_1514,Heterostructure Layer Sequence
cluster_1515,Storage modulus
cluster_1516,Graphitic content
cluster_1517,Linear Response Range for H2O2 Detection
cluster_1518,Functional Groups
cluster_1519,TDD
cluster_152,Oxidation state of Zn
cluster_1520,Wave-Function Overlap
cluster_1521,Input Stage
cluster_1522,Contribution to VBM
cluster_1523,Constant K
cluster_1524,Coordination
cluster_1525,Capping ligand
cluster_1526,Sample Configuration
cluster_1527,Coercive Force
cluster_1528,Anion displacement parameter
cluster_1529,Interference
cluster_153,Absence of Cracks
cluster_1530,Gauge factor
cluster_1531,Frame rate
cluster_1532,Effect
cluster_1533,Bulk modulus
cluster_1534,HRTEM Image
cluster_1535,Timing jitter
cluster_1536,Humidity Sensing Response
cluster_1537,Mass Spectrometry
cluster_1538,Solubility
cluster_1539,Buckling parameter
cluster_154,Arm Length
cluster_1540,Flux Measurement Uncertainty
cluster_1541,Detuning
cluster_1542,Jsc (integrated from EQE)
cluster_1543,Biaxial modulus
cluster_1544,Hahn-echo coherence times
cluster_1545,π-π stacking d-spacing
cluster_1546,Linear Dynamic Range (LDR)
cluster_1547,Presence of difference between Field-Cooled (FC) and Zero-Field-Cooled (ZFC) magnetization
cluster_1548,Velocity Overshoot
cluster_1549,Hexagonal Inclusions
cluster_155,Breakdown Characteristics
cluster_1550,Eye diagram
cluster_1551,Anti-interference Ability
cluster_1552,Binding Site
cluster_1553,Milling Rate
cluster_1554,Index step
cluster_1555,Number of Nuclei
cluster_1556,Bottom Cell Jsc
cluster_1557,Fabrication Outcome
cluster_1558,Transit time
cluster_1559,Sample mounting
cluster_156,Bulk Refractive Index Sensitivity
cluster_1560,Electronic Character
cluster_1561,Amount incorporated
cluster_1562,Ra
cluster_1563,Reactor Configuration
cluster_1564,Process Condition
cluster_1565,Fano Factor
cluster_1566,Nitridation
cluster_1567,Fluorine content
cluster_1568,TEM observation
cluster_1569,Back contact
cluster_157,Annual Energy Generation
cluster_1570,Implant Profile
cluster_1571,Observation
cluster_1572,Slow Axis Divergence
cluster_1573,Tauc Slope
cluster_1574,Arrangement
cluster_1575,Gallium Contamination
cluster_1576,HOMO localization
cluster_1577,Not Applicable
cluster_1578,Value
cluster_1579,Identical to System 1
cluster_158,Incident Photon to Charge Carrier Efficiency
cluster_1580,Autocorrelation
cluster_1581,Quadrupole Moment
cluster_1582,Number of Pairs
cluster_1583,Eg/q - Voc
cluster_1584,Texture Coefficient (TC)
cluster_1585,In-Plane Relationship
cluster_1586,Simulation Setup
cluster_1587,Weibull Modulus
cluster_1588,EBIC Signal
cluster_1589,Mott VRH Parameter
cluster_159,Carrier confinement
cluster_1590,Degree of polymerization
cluster_1591,CTE
cluster_1592,Amount Deposited
cluster_1593,CF2 Radical Density
cluster_1594,Experimental Setup Configuration
cluster_1595,Uptake
cluster_1596,Semiconducting Type
cluster_1597,Component Values
cluster_1598,Fowler-Nordheim Plot Characteristics
cluster_1599,DUV to Visible Rejection Ratio
cluster_16,Absorbed Pump Power
cluster_160,Back contact material
cluster_1600,Stern–Volmer Constant
cluster_1601,AM-PM Distortion
cluster_1602,Varshni Coefficient
cluster_1603,Overlap population
cluster_1604,Huang-Rhys Factor
cluster_1605,Group index
cluster_1606,Occupation
cluster_1607,SL period
cluster_1608,ROS Generation
cluster_1609,Seebeck Coefficient
cluster_161,Heat Flux
cluster_1610,Escape probability
cluster_1611,Dissolution
cluster_1612,Turnover number
cluster_1613,CIE Coordinate
cluster_1614,Catalyst
cluster_1615,Presence of F
cluster_1616,Knoop Microhardness
cluster_1617,Presence of SiH Groups
cluster_1618,Peroxidase-like activity
cluster_1619,Field of view
cluster_162,EL Full-Width at Half Maximum (FWHM)
cluster_1620,Microcracks
cluster_1621,Goldschmidt tolerance factor
cluster_1622,Hydrophilicity
cluster_1623,Electrochromism
cluster_1624,TGA
cluster_1625,Bowing
cluster_1626,Memory Window
cluster_1627,Blinking Behavior
cluster_1628,Limit of Quantification
cluster_1629,Average FF
cluster_163,Coupling to QD
cluster_1630,Antioxidant activity
cluster_1631,Mean NETD
cluster_1632,Shubnikov-de Haas Oscillation
cluster_1633,Imprinting Capability
cluster_1634,Product of ns and μn
cluster_1635,Presence of CH3 groups
cluster_1636,Friction
cluster_1637,Apoptosis
cluster_1638,Sequence specificity
cluster_1639,Presence of PbI2
cluster_164,Current-Voltage Behavior
cluster_1640,Mesoporosity
cluster_1641,Used For
cluster_1642,Michaelis Constant
cluster_1643,Bismuth Content
cluster_1644,Point Spread Function
cluster_1645,Rs
cluster_1646,Antibacterial Activity
cluster_1647,Hybridization
cluster_1648,Delamination
cluster_1649,RT PL
cluster_165,Domain Orientation
cluster_1650,Biofilm Formation
cluster_166,Biaxial Residual Stress
cluster_167,Average Inclination Angle
cluster_168,Average Reflectance vs. Angle
cluster_169,Bandgap Narrowing
cluster_17,2D Peak Position
cluster_170,Active Layer Width
cluster_171,Cl/Si ratio
cluster_172,Chromatic Dispersion
cluster_173,Antenna gain
cluster_174,Aspect Ratio Achieved
cluster_175,Average Dot Height
cluster_176,Arsenic Diffusion Coefficient
cluster_177,3 dB Modulation Bandwidth
cluster_178,Average Pore Radius
cluster_179,Defect type and orientation
cluster_18,Appearance of 3D growth mode
cluster_180,C-H bond density
cluster_181,Al2O3/4H-SiC Interface Morphology
cluster_182,Average cavity diameter
cluster_183,Base-collector capacitance
cluster_184,Diffraction Pattern
cluster_185,Chemical Interaction
cluster_186,AlAs Mole Fraction (x)
cluster_187,Absence
cluster_188,BHJ Solar Cells Efficiency
cluster_189,Al Incorporation
cluster_19,Air temperature
cluster_190,Buffer Leakage Current
cluster_191,Not Applicable / Not Reported
cluster_192,Crystalline Quality - (0002) Reflection FWHM
cluster_193,Current Response
cluster_194,Bandgap Shift
cluster_195,Effective Electron Diffusion Coefficient
cluster_196,AR Coating Reflectivity
cluster_197,Beam flux
cluster_198,Cavity Loss
cluster_199,C–V hysteresis
cluster_2,Applied Bias Photo-to-Current Efficiency
cluster_20,Acceptors concentration
cluster_200,Dielectric Properties
cluster_201,Elements present
cluster_202,Fe Valence State
cluster_203,Counter Electrode
cluster_204,Effective Mode Area
cluster_205,Ambient Oxidation Resistance
cluster_206,Cleaved facets
cluster_207,C 1s peak
cluster_208,Absorber thickness
cluster_209,Donor-bound exciton peak energy
cluster_21,Absorbance in visible spectrum
cluster_210,"Photoresponse (Below-gap excitation, Decay Time)"
cluster_211,DLTS Spectrum
cluster_212,Conduction Band (CB) position
cluster_213,Electrical Power Output
cluster_214,Epitaxial Nature
cluster_215,Adjacent Channel Power Ratio
cluster_216,Etch Rate by O2 Plasma
cluster_217,Channel electron mobility
cluster_218,Effect of Temperature on Carrier Lifetime
cluster_219,Cross-Sectional View
cluster_22,(D0X) Peak Energy
cluster_220,AFM height
cluster_221,Gas Sensitivity to H2
cluster_222,2-D Hole Gas Formation
cluster_223,Average GaN Growth Rate
cluster_224,C-V characteristics
cluster_225,Gate Bias Voltage
cluster_226,Junction Ideality Factor
cluster_227,Electron-hole wave function overlap
cluster_228,2θ angle
cluster_229,As source dopant
cluster_23,Absence of Extended Defects
cluster_230,Admittance Spectra
cluster_231,Deep Level Luminescence
cluster_232,Cathodoluminescence Full-Width at Half Maximum
cluster_233,BL peak position
cluster_234,DBE Peak Position
cluster_235,Average Transmittance
cluster_236,Bilayer Structure
cluster_237,EQE spectral response
cluster_238,Biexciton quantum yield
cluster_239,Amplitude
cluster_24,Air gap
cluster_240,Background Current
cluster_241,AR Coating
cluster_242,Adhesion (Critical Load)
cluster_243,Collector Current
cluster_244,Cavity Length
cluster_245,Anchoring Energy Coefficient - Polarization
cluster_246,Capture Cross Section (σT)
cluster_247,Dielectric strength
cluster_248,Anisotropic Energy Density
cluster_249,Coefficient of Thermal Expansion (CTE)
cluster_25,2DEG Sheet Carrier Concentration
cluster_250,Nucleation
cluster_251,Degradation
cluster_252,Average lattice constant
cluster_253,Al-N Bonding State
cluster_254,Bridge length
cluster_255,Grating Function
cluster_256,Born Effective Charge
cluster_257,Actuation voltage
cluster_258,Magnetic coercivity
cluster_259,Cavity mode wavelength shift
cluster_26,A-exciton energy gap
cluster_260,Damage Depth
cluster_261,Dark Current-Voltage characteristics
