cluster_id,property,count,cluster_size
cluster_1,Sub-band-gap Luminescence Peak Energy,1,572
cluster_1,Emission Transition,1,572
cluster_1,Optical-excitation spectrum,1,572
cluster_1,Photocurrent Onset Threshold Energy,1,572
cluster_1,Ground state photoluminescence peak wavelength,1,572
cluster_1,Excitonic Emission,1,572
cluster_1,Emission Energy Shift,1,572
cluster_1,Emission range,1,572
cluster_1,Emission Spectral Width,1,572
cluster_1,NIR Emission Intensity,1,572
cluster_1,Deep-level PL emission energy,1,572
cluster_1,First Excited State Emission Energy,1,572
cluster_1,Intersubband absorption peak energy,1,572
cluster_1,Peak Transition Energy,1,572
cluster_1,Optically Pumped Stimulated Emission Wavelength,1,572
cluster_1,Luminescence Emission Wavelength,1,572
cluster_1,PL Emission in Visible,1,572
cluster_1,Enhancement of the Spontaneous Emission Rate,1,572
cluster_1,Light Intensity,1,572
cluster_1,Near Band-Edge (NBE) Photoluminescence Peak Energy,1,572
cluster_1,Blueshift of emission peak,1,572
cluster_1,Output Light Intensity,1,572
cluster_1,Room Temperature PL - UV Emission Energy,1,572
cluster_1,Main QD PL Emission Peak Energy,1,572
cluster_1,Photon Energy for Excitation,1,572
cluster_1,Optical Conductivity Peak,1,572
cluster_1,Yellow band (YB) emission peak energy,1,572
cluster_1,Near-Band-Edge PL Emission Intensity,1,572
cluster_1,Ratio of UV Band to Visible (Deep-Level) Emission Intensity,1,572
cluster_1,Peak intensity,1,572
cluster_1,Stimulated Emission Lifetime,1,572
cluster_1,Laser Threshold Intensity,1,572
cluster_1,QW Emission Wavelength,1,572
cluster_1,Emission Wavelength Uniformity,1,572
cluster_1,Parasitic Emission Intensity,1,572
cluster_1,Photoluminescence Peak Intensity (Exciton edge),1,572
cluster_1,Violet-Blue Emission Intensity,1,572
cluster_1,PL emission (NBE peak),1,572
cluster_1,Excitonic Peak Wavelength,1,572
cluster_1,White-light Emission,1,572
cluster_1,Spatial Emission Profile,1,572
cluster_1,Photoluminescence (PL) Deep Level Emission (DLE) Energy,1,572
cluster_1,ISB Luminescence Peak Energy,1,572
cluster_1,Illumination Wavelength,1,572
cluster_1,Excitonic PL Peak Energy,1,572
cluster_1,Central emission wavelength,1,572
cluster_1,Spontaneous Emission Efficiency,1,572
cluster_1,Absorption and Emission Spectra,1,572
cluster_1,Band-edge Photoluminescence Emission Intensity,1,572
cluster_1,CL Emission Wavelength,1,572
cluster_1,Optical emission (NBE),1,572
cluster_1,PL Emission Energy,1,572
cluster_1,Light absorption onset,1,572
cluster_1,Spontaneous Emission Rate,1,572
cluster_1,Optical Property - PL Intensity,1,572
cluster_1,Threshold voltage for light emission,1,572
cluster_1,Temperature Dependence of Emission Intensity,1,572
cluster_1,Emission Spectrum Width,1,572
cluster_1,Emission color,1,572
cluster_1,Luminescence (emission),1,572
cluster_1,Photocurrent threshold energy,1,572
cluster_1,FWHM of emission,1,572
cluster_1,Fluorescence Emission Maximum Wavelength,1,572
cluster_1,Defect-related emission (D2) peak energy,1,572
cluster_1,Spontaneous emission spectrum,1,572
cluster_1,UV Emission Intensity (relative),1,572
cluster_1,Optical absorbance peak position,1,572
cluster_1,Green band emission intensity,1,572
cluster_1,Near-Band-Edge (NBE) Photoluminescence Emission Peak Energy,1,572
cluster_1,Peak 1 Raman energy,1,572
cluster_1,BSF Emission Peak Energy,1,572
cluster_1,UV to Visible Emission Intensity Ratio,1,572
cluster_1,O 1s peak intensity,1,572
cluster_1,Photoionization Threshold Energy,1,572
cluster_1,Photoluminescence (PL) band edge emission intensity,1,572
cluster_1,Yellow Luminescence Peak Energy,1,572
cluster_1,Emission quantum yield,1,572
cluster_1,Optical Energy Gap (E0),1,572
cluster_1,Upconversion Emission Intensity,1,572
cluster_1,Optical energy gap (direct),1,572
cluster_1,Lasing emission,1,572
cluster_1,Emission Intensity of SiH,1,572
cluster_1,Photoluminescence (PL) - Green Emission Peak Intensity (deconvoluted),1,572
cluster_1,Intraband Absorption Peak Energy,1,572
cluster_1,Gain-peak wavelength,1,572
cluster_1,Photoluminescence emission maxima,1,572
cluster_1,Peak energy,1,572
cluster_1,Luminescence emission,1,572
cluster_1,Light Absorption Range,1,572
cluster_1,Photoluminescence emission,1,572
cluster_1,Photoluminescence Peak FWHM,1,572
cluster_1,Maximum Optical Gain,1,572
cluster_1,Light intensity dependence,1,572
cluster_1,PL Emission Maxima,1,572
cluster_1,Peak Energy Shift with Excitation Power,1,572
cluster_1,Optical Absorption Range,1,572
cluster_1,Band-edge Photoluminescence Energy,1,572
cluster_1,Bandedge Emission Energy,1,572
cluster_1,Deep-level photoluminescence intensity,1,572
cluster_1,Optical band gap energy,1,572
cluster_1,Superluminescence Emission Wavelength Range,1,572
cluster_1,Deep Level PL Emission,1,572
cluster_1,Deep-level-emission,1,572
cluster_1,Free exciton-related emission peak,1,572
cluster_1,Near-band-edge (NBE) PL emission peak,1,572
cluster_1,Electron Emission Activation Energy,1,572
cluster_1,FWHM of emission spectrum,1,572
cluster_1,Photoluminescence (PL) Peak at 2.94 eV (Pb1),1,572
cluster_1,PL Emission Peak (Free Exciton - FE),1,572
cluster_1,Emission wavelength tuning,1,572
cluster_1,Exciton Peak Wavelength,1,572
cluster_1,PL Emission Intensity (NBE),1,572
cluster_1,Emission Structure,1,572
cluster_1,PL peak wavelength,1,572
cluster_1,UV-Visible Absorption Peak,1,572
cluster_1,One-Photon Luminescence (PL) Intensity,1,572
cluster_1,QD Emission Wavelength,1,572
cluster_1,Stimulated Emission Decay,1,572
cluster_1,Photoluminescence energy shift,1,572
cluster_1,Defect-related visible emission intensity,1,572
cluster_1,Near-band-edge excitonic emission energy,1,572
cluster_1,Emission Angle,1,572
cluster_1,Photoluminescence - Free exciton peak intensity,1,572
cluster_1,Photosensitivity Peak Wavelength,1,572
cluster_1,Lasing Emission FWHM,1,572
cluster_1,GaAs (311) Peak Intensity,1,572
cluster_1,Optical Absorption Onset,1,572
cluster_1,IR Absorption Peak Position,1,572
cluster_1,Fluorescence emission maximum,1,572
cluster_1,QR Emission Intensity,1,572
cluster_1,CL emission energy,1,572
cluster_1,Deep Level Emissions (DLE) peak energies,1,572
cluster_1,Band-edge PL peak energy,1,572
cluster_1,Laser operation energy,1,572
cluster_1,Photoconductivity Peak Energies,1,572
cluster_1,Direct Optical Band Gap Energy,1,572
cluster_1,Raman E2 Intensity,1,572
cluster_1,EQE Peak Wavelength,1,572
cluster_1,Peak Reflectance,1,572
cluster_1,UV emission,1,572
cluster_1,Photoluminescence maximum,1,572
cluster_1,Discrepancy between PL Peak Energy and Absorption Edge,1,572
cluster_1,Indirect optical bandgap energy,1,572
cluster_1,Electroluminescence Energy,1,572
cluster_1,Onset of Optical Absorption,1,572
cluster_1,Absorption peak,1,572
cluster_1,Intensity of (0 0 2) peak,1,572
cluster_1,PL Emission Energy Shift,1,572
cluster_1,Emission Pattern,1,572
cluster_1,Optical Band Gap Energy (Observed),1,572
cluster_1,Light Absorption Efficiency,1,572
cluster_1,Emission λmax,1,572
cluster_1,Electroluminescence Emission Wavelength,1,572
cluster_1,Raman Intensity dependence on laser power,1,572
cluster_1,Single-photon emission,1,572
cluster_1,Shape of Emission Spectra,1,572
cluster_1,EL Emission Wavelength Range,1,572
cluster_1,Emission bands,1,572
cluster_1,EL emission peak,1,572
cluster_1,FWHM of Band Edge PL Emission,1,572
cluster_1,NBE emission intensity,1,572
cluster_1,Interband Emission Energy,1,572
cluster_1,Photoluminescence Peak Broadening,1,572
cluster_1,Photoluminescence (PL) - Defect Level Emission Intensity,1,572
cluster_1,Near Band Edge Photoluminescence Intensity,1,572
cluster_1,(e-A⁰) Peak Energy,1,572
cluster_1,CL Emission Spectrum,1,572
cluster_1,Emission lines energy,1,572
cluster_1,Optical Spectrum,1,572
cluster_1,Near-Field Emission Intensity Profile,1,572
cluster_1,Fluorescence Spectrum Peak Wavelength,1,572
cluster_1,Bound Exciton peak intensity,1,572
cluster_1,Spectral Characteristics of Spontaneous Emission,1,572
cluster_1,Electron Emission Threshold,1,572
cluster_1,PL peak energy,1,572
cluster_1,Green emission peak position,1,572
cluster_1,Blue Luminescence (BL) Peak Energy,1,572
cluster_1,QD emission energy,1,572
cluster_1,NBE emission peak,1,572
cluster_1,Optical Property - CL Peak Position,1,572
cluster_1,Hydrogen Eﬀusion Peak Intensity,1,572
cluster_1,Emission,1,572
cluster_1,Relative intensity of PL peaks,1,572
cluster_1,Normalized Emission Rate,1,572
cluster_1,IR Signal Intensity,1,572
cluster_1,Emission Bandwidth,1,572
cluster_1,Peak intensity ratio,1,572
cluster_1,(002) peak intensity,1,572
cluster_1,Near-band edge emission,1,572
cluster_1,PL Emission (UV),1,572
cluster_1,Ratio of UV to Deep Level Emission,1,572
cluster_1,Photoluminescence (PL) - Visible (Orange) Emission Intensity,1,572
cluster_1,SA band emission energy,1,572
cluster_1,Eu3+ Emission Intensity,1,572
cluster_1,Wavelength of Peak Responsivity,1,572
cluster_1,Relative Emission Intensity Ratio,1,572
cluster_1,High-Density Luminescence Band Energy,1,572
cluster_1,Emission Mechanism,1,572
cluster_1,Relative Peak Intensity,1,572
cluster_1,Photoluminescence excitation spectrum,1,572
cluster_1,Absorption Spectrum Peak Width,1,572
cluster_1,Stimulated emission cross section,1,572
cluster_1,Stimulated emission linewidth,1,572
cluster_1,Emission Time Constant,1,572
cluster_1,UV Near Band Edge Emission,1,572
cluster_1,Band Emission,1,572
cluster_1,Total optical power,1,572
cluster_1,Absorption onset energy,1,572
cluster_1,Optical Gain,1,572
cluster_1,Impurity-Related Emission Peak,1,572
cluster_1,Photoluminescence (PL) Energy (A exciton),1,572
cluster_1,Energy of Photon,1,572
cluster_1,PL Emission (Near Band Edge),1,572
cluster_1,MQW Emission Intensity,1,572
cluster_1,Near-Band-Edge PL Emission Wavelength,1,572
cluster_1,Stimulated Emission Polarization,1,572
cluster_1,Optical Band Gap Energy (Eg),1,572
cluster_1,Visible PL Emission Intensity (Oxygen Vacancies),1,572
cluster_1,PL Emission Spectra,1,572
cluster_1,Optical Generation Rate,1,572
cluster_1,Emission characteristics,1,572
cluster_1,Photoluminescence spectrum,1,572
cluster_1,Luminous Efficiency,1,572
cluster_1,Optical Output Power,1,572
cluster_1,Near-Band-Edge PL Peak Energy,1,572
cluster_1,Radiation Intensity,1,572
cluster_1,Alternative Optical Bandgap Energy,1,572
cluster_1,Spontaneous emission lifetime,1,572
cluster_1,ASE Peak Wavelength,1,572
cluster_1,Excitation Peak,1,572
cluster_1,Thermionic Emission Activation Energy,1,572
cluster_1,Emission Wavelength Shift with Current,1,572
cluster_1,Uniformity of Emission,1,572
cluster_1,Emission Band FWHM,1,572
cluster_1,Photonic Stop Band / Bragg Reflectance Peak,1,572
cluster_1,Defect Emission Wavelength,1,572
cluster_1,Relative Luminous Intensity,1,572
cluster_1,Green Emission Quantum Efficiency,1,572
cluster_1,Biexciton Emission Energy,1,572
cluster_1,Yb3+ Emission Intensity,1,572
cluster_1,Electro-optic energy (heavy hole,1,572
cluster_1,Electroluminescence Intensity,1,572
cluster_1,Excitation Intensity Dependence of PL Intensity,1,572
cluster_1,Photoluminescence (PL) Emission,1,572
cluster_1,Luminescence Energy,1,572
cluster_1,Photoluminescence efficiency,1,572
cluster_1,CL Emission Energy Shift,1,572
cluster_1,Photoluminescence (PL) - Blue Peak,1,572
cluster_1,Photoluminescence emission band,1,572
cluster_1,Reflectivity Peak,1,572
cluster_1,FTIR Peak Intensity,1,572
cluster_1,QD Emission Peak Position,1,572
cluster_1,Optical Band Gap Energy (Direct),1,572
cluster_1,EL Emission Spectrum,1,572
cluster_1,Ground State PL Emission Wavelength,1,572
cluster_1,Illumination Level,1,572
cluster_1,Raman intensity,1,572
cluster_1,Peak energy shift,1,572
cluster_1,Emission mode,1,572
cluster_1,Dominance in emission,1,572
cluster_1,Infrared PL intensity,1,572
cluster_1,Lasing Peak Wavelength Shift,1,572
cluster_1,Optical Absorbance (SPR Peak),1,572
cluster_1,Surface Plasmon Resonance Peak Energy,1,572
cluster_1,Maximum Photocurrent Wavelength,1,572
cluster_1,Peak wavelength shift,1,572
cluster_1,Excitonic PL intensity,1,572
cluster_1,Laser Spectrum,1,572
cluster_1,Photoluminescence - Band-edge emission characteristics,1,572
cluster_1,Multiphoton Emission Probability,1,572
cluster_1,Photoluminescence (PL) at 10 K,1,572
cluster_1,Broad Emission Band,1,572
cluster_1,C 1s Peak Intensity,1,572
cluster_1,Long-wavelength absorption maximum,1,572
cluster_1,PL Bound Exciton Emission,1,572
cluster_1,Photon Absorption Efficiency,1,572
cluster_1,Reflectance Minimum Energy,1,572
cluster_1,Exciton-related PL peak energy,1,572
cluster_1,Emission Power,1,572
cluster_1,Thermal Emission,1,572
cluster_1,Optical Absorption,1,572
cluster_1,Deep Level Emissions (DLE) peak energy,1,572
cluster_1,Vertical Absorption Energy,1,572
cluster_1,Trap Emission Energy,1,572
cluster_1,Emission Wavelength vs Temperature,1,572
cluster_1,Plasma Emission,1,572
cluster_1,Electroluminescence (EL) Peak Intensity,1,572
cluster_1,Near Band Edge Emission FWHM,1,572
cluster_1,Optical Quality / Defect Emission,1,572
cluster_1,Photoluminescence (Defect related peak),1,572
cluster_1,Excitonic Emission Presence,1,572
cluster_1,Emission Output Power,1,572
cluster_1,DBE Exciton Peak Intensity,1,572
cluster_1,Ratio of UV to green emission intensity,1,572
cluster_1,Donor-Bound Exciton Emission Intensity,1,572
cluster_1,Electroluminescence (EL) Peak Wavelength,1,572
cluster_1,Continuous Wave (CW) Optical Power,1,572
cluster_1,Field emission threshold field,1,572
cluster_1,ISBT Absorption Peak Wavelength,1,572
cluster_1,Excitonic Peaks,1,572
cluster_1,IPCE peak wavelength,1,572
cluster_1,Two-photon Photoluminescence Intensity,1,572
cluster_1,Absorption coefficient vs photon energy,1,572
cluster_1,Laser wavelength,1,572
cluster_1,Near-band edge Photoluminescence Intensity,1,572
cluster_1,PL Emission Full Width at Half Maximum,1,572
cluster_1,PL Emission Bandwidth,1,572
cluster_1,Luminous Efficacy of Optical Radiation,1,572
cluster_1,CL Peak Intensity,1,572
cluster_1,UV emission FWHM,1,572
cluster_1,Peak Absorption Efficiency,1,572
cluster_1,Emission Tunability,1,572
cluster_1,Electron Emission,1,572
cluster_1,Photoluminescence (PL) Peak Wavelength (YL - Yellow Luminescence),1,572
cluster_1,Peak CL Wavelength,1,572
cluster_1,PL Emission Visibility,1,572
cluster_1,Photoluminescence Strength,1,572
cluster_1,Emission Quenching,1,572
cluster_1,Peak Photoresponsivity,1,572
cluster_1,Absorption Peak Maximum (First Band),1,572
cluster_1,IR Reflectance/Peak Position,1,572
cluster_1,PL Peak Energy (QDs),1,572
cluster_1,Time-resolved Emission Spectra,1,572
cluster_1,Bandgap related emission energy,1,572
cluster_1,Field Emission,1,572
cluster_1,Absorption edge energy,1,572
cluster_1,Optical Absorption Coefficient,1,572
cluster_1,PL Peak Energy Shift,1,572
cluster_1,Maximum Electroluminescence Yield,1,572
cluster_1,Threshold Intensity,1,572
cluster_1,Exciton absorption peak,1,572
cluster_1,Spectral response peak,1,572
cluster_1,Single QD Emission Energy,1,572
cluster_1,Incident Light Wavelength,1,572
cluster_1,Photoluminescence (PL) Intensity (Excitons),1,572
cluster_1,PL Spectrum Peak,1,572
cluster_1,XRD Peak Intensity,1,572
cluster_1,Thermal emission rate,1,572
cluster_1,PL Peak Energy (n=1 heavy-hole exciton),1,572
cluster_1,Output intensity,1,572
cluster_1,QR Emission Energy,1,572
cluster_1,Photoionization energy,1,572
cluster_1,Integrated PL emission intensity,1,572
cluster_1,Photoluminescence spectrum characteristics,1,572
cluster_1,Plasmon Energy Loss Peak Maximum,1,572
cluster_1,Integrated Green Emission Band Intensity,1,572
cluster_1,Emission Wavelength of MQW,1,572
cluster_1,PL Emission,1,572
cluster_1,THz emission amplitude,1,572
cluster_1,Photocurrent intensity,1,572
cluster_1,Photo-ionization Threshold,1,572
cluster_1,Energy Shift of PL Peak,1,572
cluster_1,Photocurrent onset wavelength,1,572
cluster_1,Full Width at Half-Maximum (fwhm) of Emission,1,572
cluster_1,Emission directionality,1,572
cluster_1,Emission FWHM,1,572
cluster_1,Emission type,1,572
cluster_1,First Peak of Absorbance Spectrum,1,572
cluster_1,Si(2s) peak intensity,1,572
cluster_1,Spontaneous emission rate enhancement factor,1,572
cluster_1,SPV Peak Energy,1,572
cluster_1,Polarization of Emission,1,572
cluster_1,Maximum Emission Current,1,572
cluster_1,Peak Wavelength (EL at 150 mA),1,572
cluster_1,Spontaneous Emission Linewidth,1,572
cluster_1,Absorption band edge energy,1,572
cluster_1,Photo-activation Energy,1,572
cluster_1,Peak B energy,1,572
cluster_1,Excitonic Emission Linewidth,1,572
cluster_1,Electroluminescence (EL) Emission Energy,1,572
cluster_1,PL Peak Wavelength Shift (10K to 300K),1,572
cluster_1,N 1s XPS Peak Intensity,1,572
cluster_1,Emission Distribution,1,572
cluster_1,Spectroscopic limited maximum efficiency,1,572
cluster_1,Absorption wavelength,1,572
cluster_1,Onset Wavelength (Absorption Edge),1,572
cluster_1,Satellite Peak Intensity,1,572
cluster_1,Emission Decay Time,1,572
cluster_1,IR Peak,1,572
cluster_1,Beam Intensity,1,572
cluster_1,Photoluminescence (PL) Peak Position Shift,1,572
cluster_1,Energy spectrum,1,572
cluster_1,Luminescence Energy Shift,1,572
cluster_1,Absorption Energy,1,572
cluster_1,Photoluminescence (PL) efficiency,1,572
cluster_1,Long wavelength threshold,1,572
cluster_1,Sub-band-gap Luminescence Peaks,1,572
cluster_1,Visible light absorption,1,572
cluster_1,Lasing Energy,1,572
cluster_1,Excitonic peak,1,572
cluster_1,Peak Refractive Index,1,572
cluster_1,Emission Line Density,1,572
cluster_1,NBE Peak Intensity,1,572
cluster_1,Fundamental Absorption Edge Energy,1,572
cluster_1,Emission Asymmetry,1,572
cluster_1,Average Light Absorption,1,572
cluster_1,Photoluminescence (PL) - Band Edge Emission,1,572
cluster_1,Photoactivation energy,1,572
cluster_1,FT-IR Absorption Peak (O-H Stretching),1,572
cluster_1,Spectral emissivity,1,572
cluster_1,PL emission polarization,1,572
cluster_1,Light Output Power Saturation Behavior,1,572
cluster_1,Emission Lifetime,1,572
cluster_1,Raman Spectroscopic Peaks,1,572
cluster_1,Plasmon Resonance Peak Wavelength,1,572
cluster_1,PL peak energy of GaN QW,1,572
cluster_1,Absorption edge redshift,1,572
cluster_1,Photoluminescence,1,572
cluster_1,Excitation Wavelength,1,572
cluster_1,Biexciton Emission,1,572
cluster_1,Peak Output Power Density,1,572
cluster_1,Photovoltaic response peak,1,572
cluster_1,Emission Area,1,572
cluster_1,PL emission band,1,572
cluster_1,Cathodoluminescence intensity,1,572
cluster_1,Emission Rate,1,572
cluster_1,Electroluminescence peak position,1,572
cluster_1,Electron Photoemission Threshold,1,572
cluster_1,Light-hole exciton transition energy,1,572
cluster_1,PL Emission Energy Shift due to Annealing,1,572
cluster_1,GaN PL Peak Wavelength,1,572
cluster_1,Near Band-Gap Emission Line Energy,1,572
cluster_1,Photoluminescence Spectral Lines,1,572
cluster_1,Layer-Dependent PL Peak Energy,1,572
cluster_1,Photoluminescence quantum yields,1,572
cluster_1,Photoluminescence maxima,1,572
cluster_1,Emission Line FWHM,1,572
cluster_1,Peak Power Density,1,572
cluster_1,Donor-bound exciton peak intensity,1,572
cluster_2,Photocurrent magnitude,1,236
cluster_2,Photocurrent Saturation,1,236
cluster_2,Measurement of photocurrent,1,236
cluster_2,Photocurrent Ratio,1,236
cluster_2,Photocurrent Sensitivity,1,236
cluster_2,Photocurrent Value,1,236
cluster_2,Photocurrent Response,1,236
cluster_2,Photocurrent Efficiency,1,236
cluster_2,Photocurrent Increase,1,236
cluster_2,Photocurrent Enhancement,1,236
cluster_2,Photocurrent Density (relative),1,236
cluster_2,Photocurrent signal,1,236
cluster_2,Ratio of photocurrent,1,236
cluster_2,Photocurrent behavior,1,236
cluster_2,Photocurrent Maximum,1,236
cluster_2,Photocurrent amplification,1,236
cluster_2,Photocurrent Saturation Voltage,1,236
cluster_2,Photocurrent Contribution,1,236
cluster_2,Photocurrent Change,1,236
cluster_2,Photocurrent Enhancement Factor,1,236
cluster_2,Photocurrent Growth Time,1,236
cluster_2,Photocurrent Growth Time Constant,1,236
cluster_2,Photocurrent Spatial Distribution,1,236
cluster_2,Photocurrent Generation,1,236
cluster_2,Photocurrent Activation Energy,1,236
cluster_2,Photocurrent On/Off Ratio,1,236
cluster_2,Photocurrent kinetics,1,236
cluster_2,Photocurrent vs Power Density Relationship,1,236
cluster_2,Photocurrent-Voltage characteristics,1,236
cluster_2,Steady-state Photocurrent,1,236
cluster_2,Induced photocurrent,1,236
cluster_2,Photocurrent-potential behavior,1,236
cluster_2,Steady State Photocurrent,1,236
cluster_2,Photocurrent at zero bias,1,236
cluster_2,Zero-bias photocurrent density,1,236
cluster_2,Photocurrent Temperature Dependence,1,236
cluster_2,Normalized photocurrent,1,236
cluster_2,Modulated photocurrent,1,236
cluster_2,Photocurrent stability,1,236
cluster_2,DC Photocurrent,1,236
cluster_2,Photocurrent mechanism,1,236
cluster_2,Photocurrent Density at Zero Bias,1,236
cluster_2,Rising Time of Photocurrent,1,236
cluster_2,Photocurrent Uniformity,1,236
cluster_2,Photocurrent,1,236
cluster_2,Photocurrent (ΔI = I_light - I_dark),1,236
cluster_2,Short-circuit Photocurrent Density,1,236
