Main Term,Count
"Spectral responsivity",1
"Detection limit",1
"Transition energy",1
"Atomic percentage",1
"Specific detectivity",1
"Acceptors concentration",1
"Quantum efficiency",1
"Raman spectroscopy",1
"Layer structure",1
"Characteristic Temperature",1
"Selectivity",2
"Electrical Properties",3
"Raman Shift",1
"Nitrogen content",1
"Uniformity",1
"Photo-to-dark current ratio",1
"Near-band edge emission",1
"Valence Band Maximum",2
"Adhesion",2
"Rectification Ratio",2
"Reverse leakage current",1
"Sharpness of interface",1
"Total Number of Layers",1
"Deposition Technique",1
"Melting point",1
"Annealing Temperature",1
"Dielectric Function Imaginary Part",1
"Bandwidth",2
"Seebeck Coefficient",1
"Ionization Energy",1
"Optical Emission",2
"Stokes Shift",1
"Carbon concentration",1
"Magnetization Saturation",1
"J-V Characteristics",1
"RHEED Pattern",1
"Etch pit density",1
"Number of Pairs",1
"Cathodoluminescence intensity",1
"Glass transition temperature",1
"Gate Leakage Current",1
"Photocatalytic Degradation Rate",1
"In-plane Strain",1
"Period",1
"In Content",1
"Linewidth",1
"PL Lifetimes",1
"Radiative Recombination Rate",1
"Carrier type",1
"Defects",1
"Lattice matching",1
"Thermal-Expansion Coefficient",1
"Peak energy",1
"Dipole Moment",3
"Optical Property",1
"Oxygen Content",1
"Crystal Size",1
"Decomposition temperature",1
"Capture Cross-Section",1
"Contact type",1
"Observation of Persistent Photoconductivity",1
"Traps density",1
"Growth Method",1
"Band Diagram",1
"Lattice-strain",1
"Optical energy gap",2
"Surface topography",1
"Free Electron Concentration",1
"Barrier Width",1
"Ionization Potential",1
"Oxygen concentration",1
"Carbon content",1
"Size and Size Distribution",1
"PL FWHM",4
"Emission",1
"Sheet carrier concentration",1
"Si Concentration",1
"Bulk modulus",1
"Mobility in 2DEG",1
"Magnetic Moment",1
"Open circuit photovoltage",1
"Absorption Peak Wavelengths",1
"Absorption band",1
"Effective Hole Mass",1
"Maximum Output Power",1
"Shell Thickness",1
"Average Height",1
"Etch Depth",1
"X-ray diffraction pattern",1
"Dielectric Function",1
"Crystalline Volume Fraction",1
"Contact angle",1
"Figure of merit",1
"Residual strain",1
"Diffusion length",1
"Noise equivalent power",1
"Phonon Frequency",1
"Microstrain",2
"Photocurrent Decay Time",1
"Mole Fraction",1
"Lifetime",2
"Trap Concentration",1
"Polarization",1
"Maximum Transconductance",2
"Deep Level Concentration",1
"Raman Modes Present",1
"Interface/Structure",1
"Electroluminescence Intensity",1
"Charge Carriers Mobility",1
"Donor Density",1
"Chemical Bonding",1
"Valence Band Structure",1
"Unit cell volume",1
"Wavelength of Peak Responsivity",1
"Photocurrent spectra",1
"Cutoff frequency",1
"Signal-to-noise ratio",1
"Built-in potential",1
"XRD Peak Position",2
"Active Area Area",1
"Rejection Ratio",1
"Energy",1
"Growth mechanism",1
"Oxidation Potential",1
"Surface Coverage",1
"Peak Responsivity",1
"Gap size",1
"Photoconductive Gain",1
"Surface Energy",1
"Curie Temperature",1
"Implantation Total Dose",1
"Substrate material",1
"Al Concentration",1
"Coverage",2
"Fluorescence lifetime",1
"Hall Coefficient",1
"Activation energy of dark conductivity",1
"Optical Output Power",2
"Substrate Temperature",1
"Insertion loss",1
"Bond Angles",2
"Band Bending",1
"Maximum drain current",1
"Metric",1
"Ga/In ratio",1
"Thickness uniformity",1
"Photocurrent intensity",1
"Photoluminescence quantum yields",1
"Flow Rate",1
"Magnetization",1
"Nitrogen Concentration",1
"Depth",1
"XRD FWHM",1
"Photoluminescence Emission",2
"Field-effect Mobility",2
"Fall time",1
"Photoluminescence emission energy",1
"Dynamic Range",1
"Impurity Content",1
"Temperature Dependence of PL Peak Energy",1
"Transmission Spectrum",1
"GaN barrier thickness",1
"Corresponding Radiative Lifetime",1
"Hydrogen Concentration",1
"Top-view Morphology",1
"Screw-Dislocation Density",1
"Thermal Resistance",1
"Periodicity",1
"Phase Separation",1
"Configuration",1
"Geometry",1
"Laser Emission Wavelength",1
"Electronic structure",1
"Interface Abruptness",1
"Finger width",1
"Alloy composition",1
"Peak Wavelength",2
"Relative Permittivity",1
"Photoluminescence decay time",1
"Onset potential",1
"Substrate Type",1
"Atomic Concentration",1
"Distribution",1
"Interface",1
"Epitaxial growth",1
"Electric field distribution",2
"Depletion width",1
"Interface-Trap Density",1
"Deposition temperature",1
"Polycrystalline nature",1
"Elemental Distribution",1
"Si-doping Concentration",1
"Inner diameter",1
"Implantation energy",1
"Electroluminescence",1
"PL Quantum Yield",2
"Photovoltaic efficiency",1
"In-Plane Orientation",1
"3-dB Bandwidth",1
"Photoconductivity Spectrum",1
"Lattice Fringe Spacing",1
"Lasing Threshold",1
"Maximum Oscillation Frequency",1
"Relaxation Time",1
"Charge density",1
"Surface Structure",1
"Conduction Band-Edge",1
"Presence of Defects",1
"Diffusion Coefficient",1
"Thermal Decomposition Temperature",1
"Presence of Si-C Bond",1
"O 1s binding energy",1
"Superlattice period",1
"Thermal activation energy",1
"Structural properties",1
"Grating period",1
"Polytypes",1
"Bias voltage",1
"Wall Thickness",1
"Active-layer Thickness",1
"Reproducibility",2
"Pixel Pitch",1
"Exciton Lifetime",1
"Wall-plug efficiency",1
"Functional Groups",1
"Water contact angle",1
"Poisson’s Ratio",1
"PL Full-Width at Half-Maximum",1
"Electric field",1
"Number of QWs",1
"Valence States",1
"Reflectance Spectra",1
"Peak intensity",1
"Interface Roughness",1
"Photovoltaic Effect",1
"Charge Transfer",1
"Spectral Range",1
"Physical form",1
"Yellow Luminescence intensity",1
"Zeta Potential",1
"Extinction Ratio",1
"FTIR Spectrum",1
"Mn Concentration",1
"Recombination",1
"Core-level binding energy",1
"Deep-level-emission",1
"Light-harvesting Efficiency",1
"Value",1
"Interplanar Distance",1
"Hysteresis",1
"On-Off current ratio",1
"Coercive field",1
"Photovoltage",1
"Optical transition energy",1
"Flat-Band Voltage",1
"Conductance",2
"Wavelength range",1
"Tensile Strain",1
"Photoconversion Efficiency",1
"Molecular structure",1
"PL integrated intensity",1
"Photoluminescence FWHM",2
"Crystal plane",1
"Defect concentration",1
"Conductivity Activation Energy",1
"V/III-ratio",1
"Surface potential",1
"Dihedral angles",1
"Growth Morphology",1
"Amorphous nature",1
"Root Mean Squared Roughness",1
"Current",1
"Excitonic Transition Energy",1
"Radius of Curvature",1
"Equivalent oxide thickness",2
"Alignment",1
"BET Surface Area",1
"PL Emission Energy",1
"Electrochemical behavior",1
"Resonance wavelength",1
"Operating voltage",1
"Not Explicitly Characterized",1
"Performance",1
"Cyclic voltammetry",1
"LUMO",1
"Excitation Energy",2
"Recombination resistance",2
"Grain Boundary",1
"Relaxation",1
"Texture coefficient",1
"Optical bandgap energy",1
"Conduction Band Minimum",2
"XRD Peak Intensity",1
"Defect Energy Level",1
"Quantum Well Thickness",1
"Phonon energy",1
"Current efficiency",1
"Electroluminescence Peak Intensity",1
"Confinement Potential",1
"Channel length",1
"Buffer layer thickness",1
"Tilt angle",1
"Surface termination",1
"Strain Relaxation",1
"Mesa diameter",1
"π-π stacking distance",1
"Domain Size",1
"Internal loss",2
"Optical reflectance",1
"Formation",1
"Temperature Dependence",1
"Power-Added Efficiency",1
"Elastic constant",1
"Magnetic Properties",1
"2DEG Density",1
"Absorption Bands",1
"Core diameter",1
"Pit density",1
"Raman intensity",1
"Photoluminescence efficiency",2
"Stripe Width",1
"Luminescence Peak Energy",1
"Resolution",2
"Junction Depth",1
"Elasticity Modulus",1
"Electrochemical Band Gap",1
"Optical conductivity",1
"Trap energy",1
"FWHM of Raman peak",1
"Reverse breakdown voltage",1
"Free-carrier concentration",1
"XRC FWHMs",1
"Surface Quality",1
"Emission maximum",1
"IR Spectrum",1
"Diode-Ideality Factor",1
"Photocurrent stability",1
"Dielectric Permittivity",1
"Semiconductor Type",1
"XRD Rocking Curve FWHM",1
"Absorber thickness",1
"Propagation Loss",1
"FTIR peak",1
"Ratio",1
"Interlayer Distance",1
"Dark resistivity",1
"Defect type",1
"SEM image",1
"Bondings",1
"Dark Current-Voltage characteristics",1
"Dye loading",1
"ON-resistance",1
"Optical Loss",1
"Field Enhancement Factor",1
"Chip size",1
"Capacitance-voltage characteristics",1
"Hall Electron Mobility",1
"Permittivity",1
"Current gain cut-off frequency",1
"Optical Transparency",1
"Surface photovoltage",2
"Areal density",1
"Symmetry",1
"Spacing",1
"Diffusion Length",1
"Fluorescence Quantum Yield",1
"Pore Volume",1
"Photocurrent Generation",1
"Hole diameter",1
"Step height",1
"Photoluminescence Linewidth",1
"Pinch-Off Voltage",1
"Net-Acceptor Concentration",1
"Structure/Type",1
"Maximum Current Density",1
"Number",1
"Stimulated Emission Threshold Intensity",1
"Fabrication Technique",1
"Drain current",1
"Misfit Dislocations",1
"Boron Concentration",1
"Doping profiles",1
"Energy level alignment",1
"Electrical resistance",1
"Pitch",1
"Loss dielectric",1
"Photostability",1
"Photoelectrochemical Response",1
"Recombination Lifetime",1
"Magnetoresistance",1
"Conduction mechanism",1
"Growth Time",1
"Photoluminescence properties",1
"Band-Edge Emission",1
"Deep level defects",1
"Electroluminescence Peak Wavelength",1
"Hole Density",1
"Absorption range",1
"Pixel Size",1
"Open-circuit Potential",1
"Operability",1
"Heterojunction formation",1
"Subthreshold Swing",1
"Ground state energy",1
"Built-in-voltage",1
"CW Output Power",1
"Linear Range",1
"Resonant Frequency",1
"Photocatalytic H2 Evolution Rate",1
"Noise-Equivalent Temperature Difference",1
"Electrochemical Impedance Spectroscopy",1
"Volume",2
"Yield",1
"Emission linewidth",1
"Measurement Method",1
"Average Thickness",1
"Built-in electric field",1
"Diffraction peak",1
"Photoelectric Conversion Efficiency",1
"Frame rate",1
"Sheet Electron Density",1
"Fluorescence Spectrum",1
"Charge Carriers Concentration",1
"Mesa Structure",1
"Electrical Type",1
"Optical Constants",1
"Power Consumption",1
"Emission spectra",1
"Period thickness",1
"Orientation of Substrate",1
"Resonance Frequency",1
"Absorption efficiency",1
"Photoluminescence Quenching",1
"Deep level energy",1
"Intensity Ratio",1
"Compensation Ratio",2
"Overall conversion efficiency",1
"Cohesive energy",1
"Noise Figure",1
"State",1
"FTIR Absorption Peak",1
"Phase identification",1
"Number of Wells",1
"X-ray Diffraction FWHM",2
"Cladding layer thickness",1
"Drain Current in Saturation",1
"Unit Cell Parameters",1
"Energy level of the highest occupied molecular orbital",1
"Lattice structure",1
"SEM",1
"Superconducting Gap",1
"Thickness of QW",1
"Background Carrier Concentration",1
"Haze Values",1
"Piezoelectric Coefficient",1
"Surface state",1
"Cell efficiency",1
"Plan-view morphology",1
"Spectral Photoresponse",1
"Depletion-layer width",1
"Raman mode",1
"Spontaneous Polarization",1
"Full Width at Half Maximum of PL Peak",2
"Cu/ Ratio",1
"Peak Transconductance",1
"Topography",1
"XPS",2
"Indium concentration",1
"Core/Shell structure",1
"Oxygen vacancies",1
"ION/IOFF ratio",1
"Impedance",1
"Micro-Strain",1
"Electrochemical properties",1
"Exciton absorption peak",1
"Noise spectral density",1
"Output power density",1
"EL Intensity",1
"CIE Chromaticity Coordinates",1
"Overall Structure Morphology",1
"Side-Mode Suppression Ratio",1
"Crystal Quality",8
"Visible light absorption",1
"Coupling Efficiency",1
"Band Offset",1
"Optical absorption coefficient",1
"Conduction Band Effective Density of States",1
"Magnetic Behavior",1
"X-ray diffraction peaks",1
"Interface Composition",1
"Fluorescence Quenching",1
"Heat capacity",1
"Energy Difference",1
"Binding Energy",7
"Etching depth",1
"Homogeneity",1
"Power factor",1
"Temperature dependent resistivity",1
"c-Axis Lattice Constant",1
"Far-Field Pattern FAHP",1
"Absorptance",1
"Doping type and density",1
"Reverse-Saturation Current",1
"XRD peaks",1
"Light Extraction Efficiency",1
"EL spectrum peak wavelength",1
"Recombination rate",1
"Pressure",1
"Surface States Density",1
"Surface passivation",1
"Partial Pressure",1
"Aperture Diameter",1
"Charge-carrier density",1
"Average Roughness",1
"Mg Content",1
"Effective density of states in valence band",1
"Charge State",1
"Charge transport",1
"Piezoelectric field",1
"Optical Absorption Onset",1
"PL quenching",1
"CL Emission Peak",1
"Indium mole fraction",1
"Ferromagnetism",1
"Schematic Cross Section",1
"Etch selectivity",1
"Mg doping concentration",1
"Annealing Condition",1
"C-V characteristics",1
"Total Energy",1
"Maximum power",1
"XPS peak",1
"Defect Emission",1
"Center wavelength",1
"Differential efficiency",1
"Molar fraction",1
"Fermi Energy",2
"Reliability",1
"Photoluminescence lifetime",1
"J–V Curve",1
"Space group",1
"Two-dimensional electron gas density",1
"Recombination Times",1
"Compressive Strain",1
"Operating Frequency",1
"QD density",1
"Type of semiconductor",1
"Barrier material",1
"Luminescence lifetime decay",1
"Epitaxial layer structure",1
"Potential application",1
"Surface chemistry",1
"Incorporation",1
"Valence band energy",1
"Deep-Level Traps",1
"Crystallinity Degree",1
"Composition Gradient",1
"Maximum Efficiency",2
"Concentration Profile",1
"Basal-plane Stacking Fault Density",1
"T0",1
"Charge Recombination Resistance",1
"Q-factor",1
"Turn-on field",1
"Maximum operating temperature",1
"Etch Profiles",1
"Junction Type",1
"Strain status",1
"Mobility-Lifetime Product",1
"Biaxial Strain Presence",1
"Fe Concentration",1
"Ligand",1
"Spin Density",1
"Volume Fraction",1
"Interband transition energy",1
"Deep level electron trap concentration",1
"Energy-level Diagram",1
"Critical thickness",1
"Presence of Impurities",1
"Vibrational Modes",1
"Breakdown field",1
"Coercivity",1
"Luminance",1
"Activation Energy of Acceptor",1
"Degree of Polarization",2
"Optical Gain",1
"Dye adsorption",1
"Capacity",1
"Ridge Width",1
"Differential resistance",1
"Amount",1
"Surface Chemical Composition",1
"Tuning Range",1
"Chemical structure",1
"Composition of layers",1
"Waveguide width",1
"Resistance-Area Product",3
"Luminous Efficiency",1
"Absorption edge energy",1
"Haze",1
"Time Constant",1
"Crystalline Size",1
"Power density",1
"Diffraction Efficiency",1
"Conduction band discontinuity",1
"Composition Uniformity",1
"Coating",1
"Frequency response",1
"Photoluminescence spectral features",1
"PL emission wavelength",1
"Optical confinement factor",1
"Crack density",1
"Pore size distribution",1
"Fundamental Band Gap",2
"Surface Defects",1
"Dispersion Energy",1
"Dielectric Function Real Part",1
"Surface Treatment",1
"Raman Active Modes",1
"Charge Separation Efficiency",1
"Thermoelectric power",1
"Modulation bandwidth",1
"Atomic Ratio Zn:O",1
"Conduction band minimum",1
"Dispersion",1
"Depletion region widths",1
"Direct bandgap",1
"Film Structure",1
"Net-carrier concentration",1
"Background Doping",1
"Charge collection efficiency",1
"Reorganization Energy",3
"Si/C Ratio",1
"Peak FWHM",2
"Intensity",1
"Average In composition",1
"Trap states density",1
"Bonded Hydrogen Content",1
"Solar cell performance",1
"Deep levels",1
"Read Noise",1
"Speed of Response",1
"Chemical Potential",1
"Zero Bias Resistance Area Product",1
"Phonon dispersion",1
"Absence of Efficiency Droop",1
"Presence of Cracks",1
"Thermal Diffusivity",1
"Surface stoichiometry",1
"Critical Temperature",2
"First excited state energy",1
"Photoluminescence Spectra",1
"Trap Energy Level",1
"Single-photon emission",1
"Total Sheet Charge Density",1
"Electronic properties",1
"Reduction Potential",1
"Internal quantum efficiency",1
"Crosstalk",1
"Spacing between electrodes",1
"Presence of impurity phases",1
"Base Diameter",1
"Limit of detection",1
"Energy Separation",1
"Top view morphology",1
"Emissivity",1
"Photo-Current",1
"Photovoltaic Parameters",1
"Frequency",1
"Nonlinear Refractive Index",1
"Radiative efficiency",1
"Friction Coefficient",1
"Auger recombination rate",1
"Optical Emission Intensity",1
"Conduction Band Energy",1
"Spectral linewidth",1
"Dopant type",1
"Acceptor density",1
"Plasmon Resonance",1
"Substrate Thickness",1
"Internal electric field",1
"Diameter range",1
"Arrangement",1
"Full Width at Half-Maximum of Emission",1
"E2 Raman Mode",1
"Diffusion",1
"Presence of Elements",1
"Device Architecture",1
"Reflection",1
"Number of quantum wells",1
"Optimized Geometry",1
"Temperature Coefficient of Band-Gap",1
"Depth profile",1
"Grain Structure/Morphology",1
"Oxygen Vacancy Concentration",2
"Strain distribution",1
"Electron Transfer Resistance",2
"Annealing time",1
"Overall Optical Efficiency",1
"Absorption Cross Section",1
"Surface cleanliness",1
"Number of Crystallites per unit area",1
"Material Property",1
"Near band-edge emission",1
"I-V Curve",1
"Cap Layer Thickness",1
"Valence Band Discontinuity",1
"Pulse duration",1
"Ga concentration",1
"Power Dissipation",2
"Viscosity",1
"Phase Transition Temperature",1
"Long-term Stability",2
"Growth per Cycle",1
"Layer number",1
"Facet coating",1
"Raman Band",1
"Dark count rate",1
"Grain structure",1
"Shear modulus",1
"Energy Loss",1
"Electron transport",1
"Hall carrier concentration",1
"Plasma Frequency",1
"Dark Resistance",1
"Sheet Electron Concentration",1
"Array Size",1
"Sheet Density",1
"Raman Scattering",1
"Charge Transfer Resistance",1
"Growth pressure",1
"Electrode material",1
"Bimolecular recombination",1
"Threshold Voltage Shift",1
"Application",1
"UV Emission Intensity",2
"Stress state",1
"Superlattice structure",1
"Inductance",1
"Maximum luminance",1
"Lateral Growth Rate Ratio",1
"Spin polarization",1
"Current–Voltage characteristic",1
"Mass density",1
"Facet reflectivity",1
"Cavity Quality Factor",1
"Orientation Relationship",1
"In-plane Stress",1
"NETD",1
"Pulse Width",2
"Surface Contamination",2
"Hydrodynamic Diameter",1
"Electrochemical bandgap",1
"Transverse optical phonon frequency",1
"Electron-capture Cross-section",1
"Surface functional groups",1
"Transparency current density",1
"Color Rendering Index",1
"Optical Absorption Edge Shift",1
"Complex dielectric function",1
"Buffer Layer",1
"Current gain",1
"Transfer characteristics",1
"Cytotoxicity",1
"Spectral width",1
"Electroluminescence spectrum",2
"Surface",1
"Distance",1
"Photonic band gap",1
"Cavity Mode Wavelength",1
"Recombination Energy",1
"Composition Profile",1
"Emission peak position",1
"Modal gain",1
"Crystalline quality",3
"Field Emission - Emission Current Density",1
"Lattice Parameters",4
"Surface concentration",1
"Subthreshold Slope",1
"Formation enthalpy",1
"Molar ratio",1
"Interface type",1
"PL emission FWHM",1
"Saturation Intensity",1
"QDs Size",1
"PL emission band",1
"Coherence length",1
"Peak output power",1
"Mg Composition",1
"Flexural Strength",1
"Electrical Characteristics",1
"Cross-Sectional View",1
"Cost",1
"Hole carrier concentration",1
"Light Intensity",1
"Crystalline nature",1
"Line Width",2
"Epitaxial Quality",1
"S-parameter",1
"Power efficiency",1
"Surface Smoothness",1
"Temperature-dependent Hall Mobility",1
"Electric-Field Profile",1
"Coupling Coefficient",1
"Peak detectivity",1
"Characterization Method",1
"Waveguide Loss",1
"Photoluminescence emission intensity",1
"C–V hysteresis",1
"Hole Diffusion Length",1
"Excess-Noise Factor",1
"Light-to-Dark Current Ratio",1
"Adsorption",1
"Raman mode frequency",1
"Interfacial Layer",1
"Reflectivity Peak",1
"Hydrogen evolution rate",1
"Rate Constant",1
"Operating Mode",1
"Fermi Level Pinning",1
"Lifetime of excited state",1
"Defect Structure",1
"Waveguide Structure",1
"Small-signal gain",1
"Ga Content",1
"Element Distribution",1
"Rs",1
"TO Phonon Modes",1
"Cu/ ratio",2
"Electric breakdown field",1
"C Concentration",1
"Heterostructure Type",1
"Average Nanoparticle Size",1
"Bit error rate",1
"Absorption Edge Shift",1
"Average Reflectance",1
"Coordination number",1
"Phase transitions",1
"Device Performance",1
"Saturated Output Power",1
"Effective Mass of Carrier",1
"Hall effect",1
"System-wide Structure",1
"Average Crystal Size",1
"Inter-planar Spacing",1
"Crystallization Onset Temperature",1
"Quantum Well Width",1
"Focal Length",1
"Ratio c/a",1
"Epilayer Thickness",1
"Incident Photon-to-Electron Conversion Efficiency",2
"Atomic Structure",1
"Reflection Coefficient",1
"Optical Band Gap Energy",3
"Critical-point energy",1
"Flatband Voltage shift",1
"Free-exciton emission",1
"Density of States at the Fermi Level",1
"Band transition energy",1
"On-state resistance",1
"Mean Particle Size",1
"Surface defect density",1
"Drift mobility",1
"Repetition Rate",1
"Charge",1
"Photoconductivity Peak Energies",1
"Threshold Voltage",2
"Etched surface morphology",1
"Island density",1
"PL Intensity vs Temperature Behavior",1
"1/f Noise Measurements",1
"Flatband Potential",1
"Out-Of-Plane Lattice Constant",1
"CL intensity",1
"Vacancy Concentration",2
"Current-Peak-to-Valley Ratio",1
"FTIR Peaks",1
"Reverse current",1
"Blend Ratio",1
"Light-to-electricity conversion efficiency",1
"UV emission peak",1
"Coalescence",1
"Conduction Band Profile",1
"Preferred growth orientation",1
"Schematic Representation",1
"Absorption Wavelength Edge",1
"Temperature Dependence of Threshold Current",1
"Luminescence emission",1
"Bandgap Width",1
"Effective density of states",1
"Preparation Method",1
"Role in device",1
"Surface oxidation",1
"E2 Raman Mode Frequency",1
"FWHM XRD",2
"Elastic constants",1
