property,count
SPV Signal Sign,1
Obscuration,1
G-X Crossover Pressure,1
Active Species,1
Mesa Isolation,1
Secondary Ion Mass Spectroscopy (SIMS),1
Exfoliation,1
Staebler-Wronski Effect,1
Microstrain,1
Debye-Waller factor,1
CT states,1
Not reported,1
Ridge structure,1
Potential for optoelectronic devices,1
Encapsulation,1
Ethanol Response,1
GIXRD Pattern,1
Response to TEA,1
Nominal In content,1
Loading Method 1,1
Mulliken Population,1
Transverse sound velocity,1
Electroreflectance,1
Effective Rydberg,1
Astigmatism,1
Antimony Content,1
Delta,1
SIMS,1
Longitudinal gauge factor,1
Compactness,1
A,1
EH exchange splitting for 2X2–,1
Challenges,1
1 dB Loss Misalignment Tolerance,1
Bond Valence Sum Σν(I1),1
Example,1
Etch Track Directionality,1
Fmax,1
CdCl2 Treatment,1
Aging,1
Power in Central Lobe,1
Trench Profile Evolution,1
Ink Composition,1
As antisite defect (AsGa) Concentration,1
Transmissivity,1
Continuity,1
Number of Repeats,1
Modulator Length,1
Chirp parameter,1
Substitution Site,1
Total Relative Abundance,1
Gamma Ray Response,1
